,package,description,category
0,,"['drive', 'royalty', 'grant', 'elite', 'access', 'mod', 'vogue', 'stylin', 'sexy', 'intriguing', 'bust-out', 'luxury-exotic', 'car', 'globe', 'drive', 'royalty', 'literally', 'scour', 'earth', 'scout', 'world', 'unique', 'vehicle', 'order', 'post-to', 'directly-the', 'pinnacle', 'trendy', 'online', 'car', 'shopping', 'delivering', 'viewer', 'heightened', 'hyper-realistic', 'almost', 'pathetic', 'sensualistic', 'virtual', 'front', 'row', 'tour', 'world', 'exotic-luxury', 'car', 'highest', 'order']",Business
22,,"['welcome', 'share', 'market', 'tip', 'profit', 'age', 'share', 'market', 'important', 'learn', 'basic', 'share', 'market', 'learn', 'share', 'marketing', 'time', 'lot', 'learn', 'share', 'marketing', 'course', 'share', 'marketing', 'course', 'easily', 'master', 'scenario', 'age', 'investor', 'important', 'learn', 'share', 'marketing', 'learn', 'share', 'marketing', 'online', 'learn', 'share', 'marketing', 'example', 'beginner', 'learn', 'share', 'marketing', 'survive', 'today', 'market', 'field', 'easily', 'learn', 'share', 'marketing', 'start', 'using', 'share', 'marketing', 'course', 'provided', 'easily', 'learn', 'share', 'marketing', 'share', 'marketing', 'learn', 'language', 'within', 'matter', 'day', 'learn', 'share', 'marketing', 'survive', 'today', 'world', 'easily', 'learn', 'share', 'marketing', 'online', 'start', 'using', 'example', 'beginner', 'main', 'focus', 'built', 'easy', 'way', 'learn', 'share', 'marketing', 'share', 'marketing', 'tip', 'explained', 'easily', 'share', 'tip', 'friend', 'social', 'medium', 'network', 'first', 'thing', 'required', 'learn', 'learn', 'share', 'marketing', 'important', 'learn', 'share', 'marketing', 'today', 'world', 'spurt', 'share', 'marketing', 'course', 'market', 'assume', 'demand', 'share', 'marketing', 'pretty', 'high', 'various', 'online', 'share', 'marketing', 'course', 'first', 'thing', 'required', 'learn', 'learn', 'share', 'marketing', 'go', 'anywhere', 'else', 'learn', 'share', 'marketing', 'using', 'beginner', 'share', 'marketing', 'beginner', 'highly', 'appreciate', 'feedback', 'user', 'hope', 'used', 'please', 'give', 'rating', 'also', 'give', 'u', 'valuable', 'feedback', 'enjoy']",Business  >  Sales & marketing
45,,"['conference', 'empowered', 'lead', 'conference', 'north', 'carolina', 'contains', 'schedule', 'event', 'detailed', 'workshop', 'description', 'evaluation', 'tool', 'share', 'perception', 'conference']",Business
47,,"['mlpa', 'australian', 'provider', 'development', 'progressive', 'mlpa']",Business  >  Sales & marketing
49,,"['bank', 'bullion', 'wtrader', 'long-awaited', 'window', 'phone', 'version', 'award-winning', 'trading', 'platform', 'vertexfx', 'trader', 'make', 'main', 'trading', 'functionality', 'finger', 'tip', 'anytime', 'anywhere', 'using', 'window', 'phone', 'device']",Business  >  Accounting & finance
65,,"['scanning', 'qr', 'code', 'time', 'consuming', 'yet', 'continuously', 'scan', 'save', 'copy', 'open', 'result', 'vigorously', 'tested', 'desktop', 'tablet', 'mobile', 'xbox', 'device', 'function']",Business  >  Inventory & logistics
131,,"['international', 'conference', 'gear', 'make', 'full-service', 'visit', 'international', 'conference', 'gear', 'plan', 'stay', 'garching/munich', 'also', 'make', 'networking', 'possibility', 'offering', 'function', 'digital', 'congress', 'program', 'make', 'individual', 'program', 'networking', 'messenger', 'others', 'signed', 'organisational', 'information', 'immediately', 'informed', 'change', 'program', 'exhibition', 'find', 'specific', 'exhibitor', 'quickly', 'easily', 'location', 'displayed', 'layout', 'plan', 'service', 'information', 'find', 'general', 'infor-mation', 'hotel', 'booking', 'parking']",Business
141,,"['gilets', 'jaunes', 'officiels', 'est', 'une', 'application', 'pour', 'relayer', 'ou', 'remplacer', 'facebook', 'et', 'permettre', 'aux', 'personnes', 'qui', ""n'ont"", 'pa', 'facebook', 'ou', 'autres', 'réseaux', 'sociaux', 'de', 'se', 'connecter', 'aussi', 'et', ""s'entraider"", 'avec', ""d'autres""]",Business
156,,"['take', 'gospel', 'nation', 'world', 'demonstration', 'god', 'power', 'vision', 'ministry', 'line', 'god', 'word', 'goodwill', 'humanity', 'reconcile', 'men', 'therefore', 'statement', 'faith', 'statement', 'bible', 'doctrine', 'emanating', 'scripture', 'found', 'old', 'testament', 'statement', 'congruent', 'foundation', 'principle', 'doctrine', 'christ', 'special', 'watch', 'sermon', 'watch', 'latest', 'sermon', 'digital', 'bible', 'study', 'word', 'god', 'using', 'bible', 'version', 'choice', 'facebook', 'connect', 'pastor', 'facebook', 'events/announcements', 'stay', 'date', 'happening', 'nearest', 'harvest', 'world', 'church', 'information', 'harvest', 'world', 'church', 'please', 'visit', '//www.harvestworld.co.za']",Business
185,,"['inventoryoncloud', 'inventoryoncloud', 'cloud', 'based', 'inventory', 'tracking', 'retail', 'business', 'user', 'warehouse', 'business', 'user', 'whole', 'sale', 'business', 'user', 'user', 'want', 'manage', 'sale', 'purchase', 'inventory', 'tracking', 'make', 'run', 'business', 'create', 'product', 'code', 'description', 'take', 'picture', 'assign', 'image', 'photo', 'library', 'identify', 'product', 'easily', 'group', 'product', 'category', 'group', 'sub', 'category', 'increase', 'inventory', 'sale', 'transaction', 'decrease', 'inventory', 'purchase', 'transaction', 'sale', 'purchase', 'transaction', 'support', 'discount', 'move', 'inventory', 'location', 'another', 'location', 'convert', 'inventory', 'unit', 'measurement', 'another', 'unit', 'measurement', 'barcode', 'scanner', 'add', 'buy', 'sell', 'product', 'multi', 'user', 'system', 'role', 'based', 'permission', 'sale', 'purchase', 'sale', 'profit', 'report', 'manage', 'business', 'effectively', 'import', 'product', 'inventory', 'csv', 'file', 'export', 'product', 'inventory', 'transaction', 'report', 'various', 'data', 'csv', 'cloud', 'based', 'system', 'syncs', 'data', 'instantaneously', 'accessed', 'mobile', 'user', 'create', 'company', 'manage', 'sale', 'purchase', 'inventory', 'tracking', 'location', 'based', 'moving', 'inventory', 'location', 'location', 'converting', 'inventory', 'unit', 'measurement', 'unit', 'measurement', 'user', 'create', 'many', 'product', 'company', 'group', 'category', 'group', 'sub', 'category', 'inventory', 'manage', 'location', 'wise', 'location', 'grouped', 'location', 'group', 'wise', 'support', 'multi', 'user', 'role', 'based', 'access', 'admin', 'user', 'create', 'many', 'user', 'role', 'based', 'grouping', 'role', 'group', 'specific', 'permission', 'access', 'specific', 'function', 'example', 'business', 'owner', 'director', 'see', 'sale', 'profit', 'report', 'user', 'seller', 'buyer', 'group', 'ca', 'access', 'role', 'group', 'created', 'custom', 'desired', 'permission', 'assigned', 'user', 'company', 'access', 'detail', 'using', 'device', 'data', 'available', 'user', 'company', 'cloud', 'data', 'syncs', 'automatically', 'support', 'create', 'sale', 'purchase', 'click', 'adjusted', 'inventory', 'based', 'transaction', 'powerful', 'search', 'help', 'search', 'entity', 'product', 'inventory', 'sale', 'purchase', 'location', 'category', 'user', 'group', 'provides', 'various', 'report', 'manage', 'business', 'effectively', 'various', 'report', 'available', 'purchase', 'report', 'sale', 'report', 'profit', 'loss', 'report', 'report', 'classified', 'report', 'month', 'report', 'quarter', 'report', 'year', 'report', 'transaction', 'report', 'product', 'import', 'export', 'data', 'csv', 'format', 'csv', 'used', 'pc', 'mac', 'analyze', 'business', 'import', 'data', 'feature', 'help', 'import', 'product', 'inventory', 'easy', 'instruction', 'feature', 'reduced', 'keying', 'many', 'data', 'repeatedly', 'highly', 'handy', 'support', 'currency', 'highly', 'format-able', 'custom', 'symbol']",Business  >  Inventory & logistics
