,package,description,category
59157,,"['prize-winning', 'slot', 'best', 'free2play', 'funtime', 'casino', 'la', 'vega', 'experience', 'lifetime', 'awaits', ""'ve"", 'got', 'best', 'slot', 'jackpot', 'find', 'simply', 'wo', 'able', 'resist', 'jackpot', 'offer', 'fun', 'without', 'end', 'slot', 'real', 'arcade', 'gaming', 'hall', 'including', 'ramses', 'book', 'fancy', 'fruit', 'super', 'duper', 'cherry', 'whole', 'lot', 'install', 'jackpot', 'secure', 'first', 'chip', 'right', 'away', 'feel', 'experience', 'la', 'vega', 'casino', 'pure', 'thrill', 'awesome', 'winning', 'slot', 'spin', 'found', 'right', 'online', 'casino', 'sort', 'slot', 'favorite', 'manufacturer', 'including', 'bally', 'wulff', 'spinomenal', 'merkur', 'gamomat', 'betsoft', 'right', 'amazing', 'slot', 'end', 'chip', 'spin', 'casino', 'bonus', 'online', 'casino', 'try', 'luck', 'playing', 'slot', 'sign', 'later', 'charge', 'order', 'make', 'sure', 'keep', 'winning', 'multiply', 'winning', 'fun', 'mini', ""'re"", 'constantly', 'adding', 'slot', 'chance', 'win', 'huge', 'jackpot', 'every', 'time', 'spin', 'reel', 'real', 'money', 'bet', 'involved', 'fun', 'risk', 'making', 'in-app', 'purchase', 'fully', 'optional', 'collect', 'experience', 'point', 'playing', 'slot', 'ton', 'casino', 'extra', 'complete', 'various', 'task', 'slot', 'ramses', 'book', 'fancy', 'fruit', 'super', 'duper', 'cherry', 'explodiac', 'maxi', 'take', 'roman', 'legion', 'xtreme', 'secret', 'amun', 'oh', 'many', ""'ll"", 'find', 'incredibly', 'fun', 'playing', 'experience', 'absolutely', 'gripping', 'fit', 'right', 'pocket', 'install', 'la', 'vega', 'casino', 'right', 'mobile', 'phone', 'intended', 'adult', 'audience', 'player', 'real', 'money', 'real', 'currency', 'win', 'real', 'money', 'real', 'currency', 'presented', 'entertainment', 'purpose', 'success', 'experience', 'social', 'casino', 'absolutely', 'influence', 'chance', 'success', 'future', 'bet', 'and/or', 'played', 'real', 'money']",Casino
59256,,"['welcome', 'jackpot', 'slot', 'best', 'casino', 'slot', 'featuring', 'hottest', 'vega', 'slot', 'machine', 'experience', 'thrill', 'excitement', 'slot', 'online', 'enjoy', 'slot', 'machine', 'directly', 'famous', 'la', 'vega', 'casino', 'spin', 'best', 'real', 'casino', 'slot', 'reel', 'hit', 'jackpot', 'win', 'huge', 'coin', 'award', ""'re"", 'real', 'vega', 'casino', 'floor', 'jackpot', 'slot', 'casino', 'brings', 'favorite', 'slot', 'endless', 'vega', 'casino', 'take', 'spin', 'slot', 'vega', 'casino', 'heart', 'vega', 'strip', 'try', 'luck', 'crap', 'roulette', 'blackjack', 'baccarat', 'poker', 'house', 'party', 'nowhere', 'better', 'gamble', 'jackpot', 'slot', 'casino', 'go', 'wild', 'fun', 'coin', 'gaming', 'including', 'casino', 'slot', 'start', 'welcome', 'bonus', 'even', 'casino', 'slot', 'bonus', 'reward', 'prize', 'spin', 'daily', 'wheel', 'win', 'big', 'prize', 'every', 'day', 'huge', 'casino', 'reward', 'mega', 'slot', 'prize', 'every', 'hour', 'special', 'slot', 'machine', 'bonus', 'level', 'surprise', 'frenzy', 'gift', 'inbox', 'take', 'chance', 'slot', 'casino', 'slot', 'top', 'la', 'vega', 'casino', 'bally', 'caesar', 'palace', 'cromwell', 'flamingo', 'planet', 'hollywood', 'bellagio', 'mirage', 'high', 'roller', 'horseshoe', 'wynn', 'casino', 'vega', 'fun', 'never', 'stop', 'jackpot', 'slot', 'casino', 'premium', 'vega', 'slot', 'choose', 'premium', 'casino', 'slot', 'machine', 'choose', 'reel', 'cash', 'mammoth', 'cash', 'fall', 'love', 'beast', 'rose', 'watch', 'big', 'win', 'erupt', 'buffalo', 'rising', 'slot', 'fill', 'bowl', 'pick', 'grand', 'jackpot', 'fu', 'fortune', 'slot', 'hundred', 'spin', 'await', 'rhino', 'stampede', 'even', 'popular', 'real', 'casino', 'slot', 'machine', 'added', 'every', 'update', 'favorite', 'online', 'slot', 'start', 'winning', 'spin', 'fun', 'slot', 'anytime', 'anywhere', 'best', 'online', 'casino', 'let', 'la', 'vega', 'come', 'today', 'lucky', 'day', 'come', 'casino', 'slot', 'stay', 'experience', 'jackpot', 'slot', 'casino', 'party', 'make', 'friend', 'la', 'vega', 'slot', 'join', 'u', 'facebook', 'exclusive', 'coin', 'offer', 'collect', 'frequent', 'bonus', '//www.facebook.com/jackpotslotscasino', 'intended', 'adult', 'audience', 'amusement', 'purpose', 'offer', 'real', 'money', 'gambling', 'opportunity', 'gamble', 'win', 'real', 'money', 'cash', 'prize', 'practice', 'success', 'social', 'casino', 'slot', 'machine', 'gaming', 'imply', 'future', 'success', 'real', 'money', 'gambling']",Casino
59281,,"['note', 'compatible', 'window', 's.', 'welcome', 'praia', 'bingo', 'bingo', 'casino', 'slot', 'online', 'totally', 'english', 'bingo', 'room', 'machine', 'ball', 'bingo', 'ball', 'bingo', 'manual', 'daubing', 'room', 'automatic', 'daubing', 'room', 'bingo', 'different', 'style', 'prize', 'enjoy', 'different', 'adventure', 'every', 'day', 'world', 'best', 'beach', 'win', 'bingo', 'following', 'beach', 'florida', 'key', 'malibu', 'santa', 'monica', 'kauai', 'cancún', 'ipanema', 'tulum', 'many', 'fun', 'make', 'friend', 'create', 'team', 'take', 'part', 'marathon', 'complete', 'promos', 'win', 'chip', 'complete', 'daily', 'mission', 'fun', 'themed', 'season', 'number', 'tourney', 'win', 'fortune', 'chip', 'exclusive', 'vip', 'benefit', 'enjoy', 'different', 'vip', 'level', 'make', 'exclusive', 'benefit', 'bigger', 'daily', 'bonus', 'bigger', 'jackpot', 'prize', 'exclusive', 'access', 'vip', 'daily', 'mission', 'marathon', 'exclusive', 'access', 'vip', 'room', 'fast-track', 'customer', 'service', 'extra', 'item', 'available', 'buy', 'store', 'keep', 'news', 'facebook', 'fanpage', 'latest', 'news', 'event', 'promotion', 'facebook.com/praiabingo', 'intended', 'adult', 'audience', 'allow', 'bet', 'win', 'real', 'money', 'prize', 'success', 'playing', 'social', 'casino', 'imply', 'future', 'success', 'real', 'money', 'involved']",Casino
59430,,"['official', 'world', 'series', 'poker', 'poker', 'texas', 'holdem', 'card', 'chip', 'download', 'toughest', 'card', 'poker', 'take', 'poker', 'pro', 'official', 'wsop', 'texas', 'holdem', 'poker', 'world-renowned', 'tournament', 'compete', 'real', 'texas', 'hold', 'em', 'tournament', 'win', 'poker', 'hand', 'bonus', 'galore', 'collect', 'bracelet', 'said', 'could', 'compete', 'wsop', 'win', 'texas', 'hold', 'em', 'omaha', 'poker', 'tournament', 'win', 'bracelet', 'prove', 'awesome', 'poker', 'hand', 'rise', 'rank', 'poker', 'best', 'poker', 'hand', 'chance', 'win', 'poker', 'pro', 'everyday', 'card', 'see', 'luck', 'take', ""'ll"", 'solid', 'poker', 'full', 'house', 'spin', 'bonus', 'wheel', 'see', 'poker', 'card', 'bonus', 'win', 'win', 'tournament', 'considered', 'true', 'poker', 'pro', 'chance', 'compete', 'wsop', 'league', ""'re"", 'big', 'poker', 'table', 'official', 'wsop', 'texas', 'holdem', 'poker', 'online', 'anytime', 'anywhere', 'b', 'texas', 'hold', 'em', 'poker', 'win', 'poker', 'bracelet', 'ring', '/b', 'poker', 'card', 'looking', 'poker', 'goody', 'ever', 'dreamed', 'wsop-official', 'bracelet', 'poker', 'card', 'bonus', 'real', 'wsop', 'poker', 'texas', 'hold', 'em', 'omaha', 'poker', 'tournament', 'best', 'poker', 'hand', 'ever', 'poker', 'chip', 'every', 'hour', 'well', 'bonus', 'waiting', 'circuit', 'poker', 'tournament', 'compete', 'texas', 'hold', 'em', 'poker', 'tournament', 'fast', 'gameplay', 'magnificent', 'prize', 'win', 'exclusive', 'wsop', 'event', 'check', 'world', 'series', 'poker', 'every', 'day', 'awesome', 'poker', 'table', 'poker', 'hand', 'poker', 'mode', 'poker', 'card', 'bonus', 'chip', 'event', 'experience', 'texas', 'holdem', 'poker', 'online', '●free', 'poker', 'facebook', 'connect', 'bonus', 'poker', 'chip', 'connecting', 'facebook', 'account', 'love', 'playing', 'texas', 'hold', 'em', 'poker', 'love', 'authentic', 'poker', 'online', 'texas', 'hold', 'em', 'omaha', 'full', 'house', 'solid', 'poker', 'hand', 'awesome', 'poker', 'poker', 'card', 'way', 'exclusive', 'wsop', 'player', 'club', 'think', 'texas', 'hold', 'em', 'poker', 'skill', 'prove', 'earn', 'place', 'exclusive', 'player', 'club', 'elite', 'benefit', 'texas', 'hold', 'em', 'omaha', 'choice', 'card', 'crush', 'table', 'become', 'poker', 'card', 'king', 'texas', 'holdem', 'omaha', 'poker', 'live', 'friend', 'invite', 'friend', 'texas', 'holdem', 'poker', 'make', 'poker', 'card', 'night', 'anytime', 'anywhere', 'seamless', 'cross-device', 'poker', 'phone', 'tablet', 'continue', 'playwsop.com', 'poker', 'bankroll', 'take', 'poker', 'online', 'experience', 'anywhere', 'guest', 'mode', 'rock', 'table', 'texas', 'hold', 'em', 'omaha', 'anonymously', 'afraid', 'bluff', 'poker', 'slot', 'mini-game', 'spin', 'win', 'poker', 'chip', 'poker', 'hand', 'casino', 'slot', 'machine', 'level-up', 'playtika', 'reward', 'earn', 'playtika', 'reward', 'playing', 'playtika', 'leading', 'including', 'slotomania', 'bingo', 'blitz', 'house', 'fun', 'caesar', 'casino', ""'d"", 'love', 'feedback', 'connect', 'u', 'facebook', '//bit.ly/wsop_fanpage', 'twitter', '//bit.ly/twitterwsop', 'call', 'information', 'required', 'provide', 'ultimate', 'customer', 'product', 'intended', 'older', 'amusement', 'purpose', 'practice', 'success', 'social', 'casino', 'poker', 'gaming', 'imply', 'future', 'success', 'real', 'money', 'gambling', 'product', 'offer', 'real', 'money', 'gambling', 'poker', 'opportunity', 'win', 'real', 'money', 'prize']",Casino
59443,,"['bộ', 'sưu', 'tập', 'bài', 'đổi', 'thưởng', 'hot', 'nhất', 'hiện', 'nay', 'có', 'gì', 'vui', 'bài', 'đổi', 'thưởng', 'siêu', 'tốc', 'tỷ', 'lệ', 'đổi', 'thưởng', 'vô', 'cùng', 'hấp', 'dẫn', 'tập', 'hợp', 'tất', 'cả', 'các', 'kiểu', 'bài', 'đổi', 'thưởng', 'trong', 'phiên', 'bản', 'nhỏ', 'gọn', 'tài', 'xỉu', 'xóc', 'đĩa', 'tiến', 'lên', 'miền', 'nam', 'tiến', 'lên', 'đếm', 'lá', 'tá', 'lả', 'xì', 'tố', 'liêng', 'poker', 'ba', 'cây', 'hệ', 'thống', 'bài', 'đổi', 'thưởng', 'luôn', 'được', 'cập', 'nhật', 'cải', 'tiến', 'vì', 'lợi', 'ích', 'người', 'chơi', 'cộng', 'đồng', 'lớn', 'mạnh', 'thu', 'hút', 'hàng', 'ngàn', 'người', 'chơi', 'đội', 'ngũ', 'admin', 'luôn', 'sẵn', 'sàng', 'hỗ', 'trợ', 'qua', 'fanpage', 'bài', 'đổi', 'thưởng', 'nhanh', 'và', 'uy', 'tín', 'đổi', 'thưởng', 'hấp', 'dẫn', 'nhất', 'trong', 'giới', 'bài', 'hiện', 'nay', 'chào', 'mừng', 'các', 'bạn', 'chơi', 'bài', 'đổi', 'thưởng', 'hấp', 'dẫn', 'mọi', 'thắc', 'mắc', 'xin', 'mời', 'các', 'bạn', 'liên', 'hệ', 'trực', 'tiếp', 'với', 'admin', 'qua', 'fanpage', 'của', 'bo', 'suu', 'tap', 'bai', 'doi', 'thuong', 'hot', 'nhat', 'hien', 'nay', 'bai', 'doi', 'thuong', 'co', 'gi', 'vui', 'bai', 'doi', 'thuong', 'sieu', 'toc', 'ty', 'le', 'doi', 'thuong', 'vo', 'cung', 'hap', 'dan', 'tap', 'hop', 'tat', 'ca', 'cac', 'kieu', 'bai', 'doi', 'thuong', 'trong', 'phien', 'ban', 'nho', 'gon', 'nhu', 'tai', 'xiu', 'xoc', 'dia', 'tien', 'len', 'mien', 'nam', 'tien', 'len', 'dem', 'la', 'ta', 'la', 'xi', 'lieng', 'poker', 'ba', 'cay', 'thong', 'bai', 'doi', 'thuong', 'luon', 'duoc', 'cap', 'nhat', 'cai', 'tien', 'vi', 'loi', 'ich', 'nguoi', 'choi', 'cong', 'dong', 'lon', 'manh', 'thu', 'hut', 'hang', 'ngan', 'nguoi', 'choi', 'doi', 'ngu', 'admin', 'luon', 'san', 'sang', 'ho', 'tro', 'qua', 'fanpage', 'bai', 'doi', 'thuong', 'nhanh', 'va', 'uy', 'tin', 'doi', 'thuong', 'hap', 'dan', 'nhat', 'trong', 'gioi', 'bai', 'hien', 'nay', 'chao', 'mung', 'cac', 'ban', 'choi', 'bai', 'doi', 'thuong', 'hap', 'dan', 'moi', 'thac', 'mac', 'xin', 'moi', 'cac', 'ban', 'lien', 'truc', 'tiep', 'voi', 'admin', 'qua', 'fanpage', 'cua']",Casino
59472,,"['push', 'coin', 'win', 'prize', 'unlock', 'quest', 'upgrade', 'ability', 'power-ups', 'strategically', 'maximize', 'reward', 'perfect', 'pastime', 'simple', 'gameplay', 'fantastic', 'physic', 'casino', 'party', 'easy', 'pick', 'fun', 'hour', 'end', 'join', 'thousand', 'player', 'sweetest', 'coin', 'pushing', 'experience', 'store', 'special', 'prize', 'win', 'special', 'prize', 'special', 'chip', 'bank', 'special', 'chip', 'boost', 'reward', 'gold', 'bar', 'chip', 'reward', 'gold', 'bar', 'xp', 'chip', 'reward', 'bonus', 'xp', 'power-up', 'chip', 'reward', 'power-up', 'blitz', 'chip', 'reward', 'coin', 'shower', 'comet', 'chip', 'reward', 'comet', 'shower', 'portal', 'chip', 'reward', 'portal', 'move', 'coin', 'bank', 'prize', 'chip', 'reward', 'special', 'prize', 'buck', 'chip', 'reward', 'party', 'buck', 'joker', 'chip', 'reward', 'special', 'chip', 'upgrade', 'upgrade', 'ability', 'become', 'pro', 'offline', 'regeneration', 'reduces', 'time', 'regenerate', 'number', 'coin', 'offline', 'regeneration', 'max', 'increase', 'max', 'number', 'coin', 'generate', 'offline', 'chip', 'luck', 'spawn', 'rarer', 'coin', 'table', 'power-ups', 'power-ups', 'energize', 'table', 'quest', 'many', 'quest', 'unlock', 'compete', 'friend', 'see', 'becomes', 'ultimate', 'coin', 'explorer', 'first', 'party', 'slot', 'feeling', 'lucky', 'head', 'slot', 'bet', 'gold', 'bar', 'multiply', 'reward', 'win', 'jackpot', 'fortune', 'wheel', 'got', 'spin', 'token', 'spin', 'fortune', 'wheel', 'hang', 'seat', 'wheel', 'slows', 'towards', 'reward', 'leaderboards/achievements', 'see', ""'re"", 'compared', 'everyone', 'vibrant', 'gamer', 'community', 'try', 'unlock', 'achievement', 'become', 'real', 'coin', 'master', 'u', 'coinparty', 'mindstormstudios.com', 'query', 'facebook', '//www.facebook.com/coinpushergames', 'join', 'active', 'community', 'player']",Casino
59474,,"['meet', 'scatter', 'slot', 'best', 'casino', 'million', 'fan', 'across', 'globe', 'exclusive', 'slot', 'machine', 'start', 'huge', 'welcome', 'bonus', 'bonus', 'coin', 'provides', 'breathtaking', 'combination', 'classic', 'vega', 'slot', 'picturesque', 'magical', 'world', 'seduces', 'player', 'spectacular', 'unique', 'experience', 'download', 'scatter', 'slot', 'enjoy', 'world', 'available', 'every', 'single', 'unique', 'gameplay', 'visual', 'style', 'brings', 'exciting', 'challenge', 'table', 'online', 'offline', 'adventure', 'synced', 'across', 'multiple', 'device', 'platform', 'spin', 're-spins', 'bonus', 'jackpot', 'well', 'hourly', 'daily', 'bonus', 'simple', 'statistic', 'displayed', 'keep', 'track', 'big', 'win', 'improve', 'strategy', 'tournament', 'mode', 'require', 'daily', 'challenge', 'end', 'journey', 'jackpot', 'room', 'epic', 'stake', 'epic', 'quest', 'living', 'breathing', 'bringing', 'update', 'character', 'stunning', 'world', 'explore', 'wo', 'bored', 'u', 'holiday', 'special', 'event', 'every', 'month', 'stunning', 'hd', 'graphic', 'explore', 'exciting', 'world', 'filled', 'mysterious', 'magic', 'playful', 'fairy', 'blazing', 'elementals', 'fantasy', 'creature', 'casino', 'slot', 'find', 'hidden', 'treasure', 'complete', 'dangerous', 'quest', 'dive', 'deep', 'ancient', 'ruin', 'find', 'secret', 'source', 'ancient', 'sorcery', 'slot', 'machine', 'captivating', 'adventure', 'wild', 'arrow', 'join', 'fera', 'hunt', 'wild', 'forest', 'strange', 'world', 'lady', 'femida', 'test', 'luck', 'spin', 'wheel', 'land', 'fortune', 'frozen', 'flame', 'witness', 'magical', 'collision', 'fire', 'ice', 'akuro', 'anna', 'brave', 'heart', 'join', 'struggle', 'domination', 'rich', 'gordon', 'molly', 'hot', 'witch', 'learn', 'make', 'magic', 'potion', 'witch', 'vampire', 'hunter', 'prepare', 'silver', 'bullet', 'cleanse', 'world', 'vampire', 'ice', 'baby', 'prepare', 'struggle', 'cold', 'world', 'filled', 'ice', 'giant', 'genie', 'money', 'three', 'wish', 'make', 'huge', 'careful', 'make', 'jatee', 'mad', 'fifty', 'shade', 'beauty', 'try', 'lose', 'head', 'coin', 'thief', 'katz', 'steal', 'jackpot', 'leave', 'penniless', 'right', 'win', 'white', 'wolf', 'howling', 'big', 'win', 'join', 'hunt', 'spider', 'queen', 'brave', 'enough', 'find', 'fortune', 'gold', 'spider', 'queen', 'sea', 'mistress', 'catch', 'lucky', 'goldfish', 'playing', 'underwater', 'world', 'stunning', 'graphic', 'detailed', 'character', 'bewitching', 'music', 'keep', 'satisfied', 'within', 'captivating', 'atmosphere', 'casino', 'slot', 'machine', 'download', 'in-game', 'coin', 'welcome', 'bonus', 'best', 'luck', 'fun', 'visit', '//murka.com/', 'join', 'u', 'facebook', '//www.facebook.com/scatterslots/', 'twitter', '//twitter.com/scatterslots', 'instagram', '//www.instagram.com/scatterslots/', 'intended', 'adult', 'audience', 'offer', 'real', 'money', 'gambling', 'practice', 'success', 'social', 'gaming', 'imply', 'future', 'success', 'real', 'money', 'gambling', 'application', 'governed', 'murka', 'term', 'service', 'collection', 'personal', 'data', 'subject', 'murka', 'privacy', 'policy', 'downloading', 'application', 'accepting', 'term', 'service', 'privacy', 'policy', '//murka.com/', 'terms-of-service', '//murka.com/', 'privacy-policy']",Casino
59647,,"['blackjack', 'simulation', 'betting', 'played', 'computer', 'entertainment', 'purpose', 'ad']",Casino
59764,,"['la', 'vega', 'casino', 'straight', 'best', 'slot', 'la', 'vega', 'offer', 'enjoy', 'best', 'sin', 'city', 'casino', 'straight', 'device', 'awesome', 'reward', 'coin', 'start', 'playing', 'daily', 'bonus', 'coin', 'first', 'week', 'hourly', 'extra', 'bonus', 'much', 'experience', 'best', 'casino', 'slot', 'machine', 'caesar', 'palace', 'vip', 'experience', 'u', 'best', 'slot', 'luxurious', 'casino', 'experience', 'make', 'u', 'proud', 'america', 'best', 'casino', 'waiting', 'spinning', 'highly', 'popular', 'aztec', 'jungle', 'slot', 'endless', 'jackpot', 'enchanted', 'big', 'win', 'la', 'vega', 'casino', 'cleopatra', 'slot', 'howl', 'win', 'wild', 'howl', 'slot', 'keep', 'giving', 'claim', 'casino', 'slot', 'throne', 'endless', 'wild', 'king', 'throne', 'slot', 'machine', 'casino', 'slot', 'pachinko', 'machine', 'ultra', 'zone', 'official', 'slot', 'vega', 'caesar', 'casino', 'glitz', 'glamor', 'red', 'carpet', 'treatment', 'vega', 'casino', 'floor', 'official', 'best', 'caesar', 'casino', 'slot', 'machine', 'true', 'high-roller', 'slot', 'machine', 'including', 'popular', 'casino', 'like', 'harrahs', 'casino', 'ballys', 'casino', 'horseshoe', 'casino', 'planet', 'hollywood', 'casino', 'flamingo', 'casino', 'even', 'top', 'american', 'casino', 'added', 'every', 'update', 'enjoy', 'fun', 'legacy', 'reward', 'spin', 'bonus', 'wheel', 'guess', 'vega', 'trivia', 'win', 'big', 'bonus', 'earn', 'playtika', 'reward', 'playing', 'playtika', 'casino', 'slot', 'including', 'slotomania', 'casino', 'casino', 'house', 'fun', 'enjoy', 'luxurious', 'casino', 'experience', 'slot', 'wander', 'aztec', 'jungle', 'slot', 'endless', 'jackpot', 'enchanted', 'big', 'win', 'vega', 'casino', 'cleopatra', 'slot', 'howl', 'win', 'wild', 'howl', 'slot', 'keep', 'giving', 'claim', 'casino', 'slot', 'throne', 'endless', 'wild', 'king', 'throne', 'slot', 'machine', 'enjoy', 'casino', 'slot', 'pachinko', 'machine', 'ultra', 'zone', 'u', 'whenever', 'whatever', 'playtika', 'award', 'winning', 'team', 'available', 'hit', 'vega', 'jackpot', 'win', 'big', 'intended', 'adult', 'audience', 'offer', 'real', 'money', 'gambling', 'opportunity', 'win', 'real', 'money', 'prize', 'practice', 'social', 'gaming', 'imply', 'future', 'success', 'real', 'money', 'gambling']",Casino
59818,,"['tired', 'solitaire', 'always', 'seem', 'rough', 'gameplay', 'grainy', 'graphic', 'try', 'completely', 'custom', 'version', 'solitaire', 'small', 'screen', 'way', 'large', 'screen', 'tablet', 'please', 'take', 'solitaire', 'spin', 'think', ""'ll"", 'see', 'difference', 'got', 'lose', 'solitaire', 'download']",Casino
