,package,description,category
1421,,"['collect', 'inspiration', 'compose', 'beautiful', 'mood', 'board', 'share', 'client', 'co-worker', 'family', 'friend', 'present', 'mood', 'board', 'go', 'build', 'interactively', 'brainstorm', 'session', 'perfect', 'solution', 'starting', 'creative', 'project', 'interior', 'designer', 'photographer', 'fashion', 'designer', 'wedding', 'planner', 'film', 'maker', 'person', 'gathering', 'inspirational', 'content', 'quickly', 'determine', 'creative', 'vision', 'project', 'creating', 'mood', 'board', 'selecting', 'background', 'adding', 'photo', 'note', 'color', 'item', 'positioned', 'rotated', 'scaled', 'build', 'versatile', 'collage', 'give', 'try', 'download', 'mood', 'board']",Multimedia design  >  Illustration & graphic design
1508,,"['application', 'able', 'make', 'dimensional', 'movie', 'picture.however', 'depth', 'information', 'application', 'assist', 'make', 'depth', 'map', 'paint', 'usage', 'load', 'picture', 'set', 'depth', 'information', 'click', 'picture', 'slideres', 'provide', 'change', 'depth', 'brush', 'size', 'mouse', 'wheel', 'make', 'change', 'zoom', 'ratio', 'right', 'click', 'make', 'dragging', 'image', 'push', 'run', 'button', 'make', 'movie', 'file', 'trial', 'period', 'day']",Multimedia design
1594,,"['u', 'view', 'panorma', 'picture', 'win10', '帮助你在win10上查看全景图片！']",Multimedia design  >  Illustration & graphic design
1925,,"['application', 'consists', 'timecode', 'calculator', 'timecode', 'stopwatch', 'timecode', 'calculator', 'let', 'user', 'basic', 'mathematical', 'operation', 'time', 'code', 'wherein', 'frame', 'rate', 'user', 'enter', 'either', 'absolute', 'frame', 'time', 'code', 'timecode', 'stopwatch', 'timer', 'application', 'let', 'user', 'choose', 'frame', 'rate', 'counting', 'frame', 'timecode', 'stopwatch', 'also', 'copied', 'pasted', 'calculator', 'input']",Multimedia design  >  Photo & video production
1997,,"['software', 'allow', 'divide', 'cut', 'trim', 'large', 'video', 'file', 'smaller', 'clip', 'supported', 'video', 'format', 'mp4', 'wmv', 'avi', 'mkv', 'video', 'quality', 'loss']",Multimedia design  >  Photo & video production
2017,,"['mixedpainter', '3d', 'paint', 'paint', '3d', 'space', 'hololens', 'immersivehmd', 'mixedpainter', 'provide', 'paint', 'data', 'save', 'load', 'function', 'sharing', 'function', 'mr', 'device', 'change', 'line', 'type', 'color', 'panel', 'hololens', 'change', 'line', 'width', 'hand', 'dragging', 'immersive', 'hmd', 'change', 'line', 'width', 'motion', 'controller', 'joystick']",Multimedia design  >  Illustration & graphic design
2144,,"['software', 'allow', 'remove', 'clip', 'frame', 'original', 'video', 'create', 'clean', 'video', 'support', 'mp4', 'mkv', 'wmv', 'avi', 'video', 'quality', 'loss']",Multimedia design  >  Photo & video production
2165,,"['searching', 'amazing', 'vintage', 'filter', 'frame', 'image', 'vintage', 'color', 'effect', 'filter', 'frame', 'choose', 'filter', 'amazing', 'frame', 'easy', 'interface', 'vintage', 'color', 'effect', 'filter', 'frame', 'improves', 'picture', 'best', 'result', 'provides', 'best', 'enjoy', 'amazing', 'different', 'vintage', 'filter', 'amazing', 'frame', 'filter', 'transparency', 'easy', 'interface', 'export', 'picture', 'anywhere', 'click', 'open', 'image', 'button', 'add', 'image', 'edit', 'bottom', 'choose', 'filter', 'wan', 'na', 'filter', 'transparency', 'slide', 'change', 'transparency', 'filter', 'chose', 'left', 'side', 'choose', 'frame', 'wan', 'na', 'click', 'save', 'button', 'select', 'folder', 'wan', 'na', 'save', 'doubt', 'trouble', 'product', 'company', 'make', 'suggestion', 'submit', 'request', 'feature', 'following', 'tool', 'go', 'bravecloud.org', 'find', 'frequently', 'asked', 'question', 'list', 'application', 'tutorial', 'more…', 'also', 'send', 'bravecloud.org', 'respond', 'soon', 'important', 'constantly', 'improve']",Multimedia design  >  Illustration & graphic design
2431,,"['hip', 'hop', 'beat', 'maker', 'make', 'hiphop', 'beat', 'touch', 'drum', 'pad', 'make', 'beat', 'easy', 'beat', 'maker', 'select', 'bmp', 'sound', 'press', 'pad', 'place', 'sound', 'make', 'easy', 'fast', 'make', 'hip', 'hop', 'beat', 'rap', 'lyric', 'sequencer', 'many', 'different', 'sound', 'kick', 'snare', 'hat', 'sample', 'possiblity', 'choose', 'pad', 'place', 'sound', 'different', 'channel', 'volumen', 'control', 'channel', 'easy', 'fast', 'placing', 'sound', 'touch', 'nice', 'interface', 'trap', 'rapper', 'approval', 'hiphop', 'beat', 'maker', 'test', 'rap', 'lyric', 'beat', 'improvise', 'make', 'rap', 'battle', 'cockfight', 'battle', 'friend', 'trap', 'rapper', 'download', 'best', 'hip', 'hop', 'beat', 'maker', 'store', 'enjoy', 'making', 'drum', 'loop', 'beat', 'pad', 'ready', 'rap', 'battle', 'beat', 'maker']",Multimedia design  >  Music production
2825,,"['ton', 'great', 'original', 'ringtones', 'phone', 'fantastic', 'ringtones', 'unique', 'sound', 'wo', 'find', 'anywhere', 'else', 'enjoy', 'custom', 'top', 'tone', 'cell', 'phone', 'easily', 'save', 'phone', 'scrolling', 'listening', 'individual', 'sound', 'great', 'version', 'phone']",Multimedia design  >  Music production
2867,,"['svglab', 'us', 'self-developed', 'svg', 'parser', 'provide', 'following', 'svg', 'file', 'parsing', 'rendering', 'draw', 'svg', 'hand-painted', 'animation', 'convert', 'ordinary', 'picture', 'svg', 'file', 'custom', 'draw', 'path', 'convert', 'ordinary', 'text', 'font', 'svg', 'animation', 'drawing', 'graphic', 'converted', 'svg']",Multimedia design  >  Photo & video production
3113,,"['nasa', 'astronomy', 'picture', 'day', 'well-known', 'project', 'started', 'back', 'provides', 'daily', 'medium', 'educational', 'explanation', 'amazing', 'sight', 'event', 'recorded', 'universe', 'application', 'automates', 'daily', 'event', 'provides', 'experience', 'educator', 'enthusiast', 'gett', 'daily', 'newsfeed', 'pick', 'day', 'limit', 'downloads', 'wish', 'see', 'along', 'calendar', 'date', 'launch', 'date', 'back']",Multimedia design  >  Photo & video production
3444,,"['picture', 'network', 'easy', 'stolen', 'others', 'application', 'provides', 'function', 'adding', 'watermark', 'seal', 'picture', 'batch']",Multimedia design  >  Illustration & graphic design
3445,,"['make', 'movie', 'two', 'movie', 'input', 'movie', 'display', 'side', 'side', 'output', 'movie', 'duration', 'decided', 'shorter', 'movie', 'resolution', 'fhd', '1920x1080', 'input', 'movie', 'resolution', 'resolution', 'fited', 'half', 'fhd', 'keeping', 'aspect', 'ratio', 'note', 'sound', 'usage', 'left', 'right', 'movie', 'select', 'right', 'left', 'movie', 'select', 'output', 'movie', 'created', 'pushing', 'run', 'button', 'trial', 'period', 'day']",Multimedia design  >  Photo & video production
3468,,"['used', 'select', 'color', 'application', 'hexadecimal', 'color', 'rgb', 'hsl', 'toning', 'choose', 'color', 'picture']",Multimedia design  >  Illustration & graphic design
3607,,"['gold', 'medium', 'converter', 'convert', 'video', 'format', 'another', 'format', 'concatenate', 'several', 'video', 'clip', 'cut', 'trim', 'video', 'clip', 'gold', 'medium', 'converter', 'convert', 'extract', 'mp3', 'video', 'clip', 'reduce', 'resolution', 'video', 'clip', 'simple', 'easy']",Multimedia design  >  Photo & video production
3646,,"['description', 'double-clicking', 'display', 'either', 'static', '3d', 'jt', 'plmx', 'dynamic', 'simulation', 'format', 'two', 'plmx', 'example', 'currently', 'embedded', 'loaded', 'via', 'menu', 'responds', 'gesture', 'voice', 'command', 'medium', 'player', 'menu', 'displayed', 'front', 'user', 'view', 'point', 'via', 'voice', 'command', 'show', '-shows', 'medium', 'player', 'show', 'medium', 'player', '-displays', 'description', 'medium', 'player', 'command', 'respond', 'voice', 'increase', 'simulation', 'speed', 'decrease', 'simulation', 'speed', 'gesture', 'command', 'using', 'two', 'hand', 'enable', 'rotate', 'translate', 'scale', '3d', 'object', 'unity']",Multimedia design  >  Illustration & graphic design
3945,,"['trim', 'video', 'easy', 'way', 'videotrimmer', 'provides', 'intuitive', 'ui', 'trim', 'video', 'simply', 'set', 'start', 'end', 'end', 'point', 'video', 'even', 'navigate', 'frame-by-frame', 'eaven', 'add', 'soundtrack', 'trimmed', 'video', 'upload', 'youtube']",Multimedia design  >  Photo & video production
3974,,"['simple', 'efficient', 'tool', 'designing', 'icon', 'stamp', '1、supporting', 'template', 'operation', '2、built-in', 'rich', 'material', 'template']",Multimedia design  >  Illustration & graphic design
3982,,"['photoforce', 'application', 'designed', 'batch', 'processing', 'photo', 'image', 'edit', 'image', 'applied', 'selected', 'image', 'following', 'setting', 'available', 'application', 'exposure', 'brightness', 'contrast', 'saturation', 'color', 'temperature', 'color', 'balance', 'gaussian', 'blur', 'motion', 'blur', 'sharpness', 'sepia', 'resizing', 'image', 'adding', 'watermark', 'setting', 'watermark', 'rotation', 'angle', 'watermark', 'transparency']",Multimedia design  >  Illustration & graphic design
4167,,"['cut', 'video', 'tool', 'trim', 'cut', 'mp4', 'video', 'file', 'trim', 'video', 'file', 'mp4', 'input', 'video', 'format', 'including', 'mp4', 'wmv', 'mov', 'output', 'video', 'format', 'including', 'mp4', 'h.264', 'wmv', 'vc-1', 'able', 'keep', 'size', 'original', 'video', 'resize', 'standard', 'profile', '1080p', '720p', 'wvga', 'etc', 'able', 'preview', 'trimmed', 'video', 'extracting', 'easy']",Multimedia design  >  Photo & video production
4297,,"['nowadays', 'business', 'card', 'social', 'important', 'find', 'right', 'design', 'suitable', 'business', 'business', 'card', 'design', 'template', 'photoshop', 'delivers', 'exclusive', 'business', 'card', 'template', 'photoshop', 'business', 'card', 'design', 'worry', 'create', 'layout', 'card', 'ready', 'add', 'information', 'overdo', 'business', 'card', 'unnecessary', 'attribute', 'avoid', 'confusion', 'among', 'contact', 'select', 'template', 'lauch', 'photoshop', 'add', 'personal', 'business', 'attribute', 'template', 'professional', 'creative', 'designer', 'job', 'either', 'inkjet/laser', 'printer', 'print', 'business', 'card', 'assigned', 'printer', 'job', 'simple', 'enjoy', 'amazing', 'template', 'psd', 'file', 'template', '3.5x2', 'inch', 'using', 'usa', 'standard', 'pixels/inch', 'easy', 'load', 'photoshop', 'exclusive', 'template', 'find', 'side', 'business', 'card', 'select', 'template', 'left', 'side', 'image', 'preview', 'template', 'chose', 'appear', 'screen', 'click', 'launch', 'image', 'launch', 'template', 'photoshop', 'using', 'photoshop', 'add', 'information', 'card', 'done', 'doubt', 'trouble', 'product', 'company', 'make', 'suggestion', 'submit', 'request', 'feature', 'following', 'tool', 'go', 'bravecl.com', 'find', 'frequently', 'asked', 'question', 'list', 'application', 'tutorial', 'more…', 'also', 'send', 'bravecl.com', 'respond', 'soon', 'important', 'constantly', 'improve']",Multimedia design  >  Illustration & graphic design
4301,,"['searching', 'make', 'beautiful', 'portrait', 'black', 'white', 'effect', 'also', 'amazing', 'frame', 'black', 'white', 'editor', 'filter', 'photo', 'find', 'exclusive', 'turn', 'photo', 'amazing', 'black', 'white', 'portrait', 'bring', 'stunning', 'black', 'white', 'effect', 'exclusive', 'frame', 'photo', 'easy', 'interface', 'make', 'stunning', 'picture', 'quickly', 'designer', 'enjoy', 'amazing', 'black', 'white', 'effect', 'amazing', 'frame', 'filter', 'transparency', 'click', 'open', 'image', 'button', 'add', 'image', 'select', 'filter', 'wan', 'na', 'bottom', 'set', 'transparency', 'effect', 'using', 'filter', 'transparency', 'slide', 'left', 'select', 'frame', 'click', 'save', 'button', 'save', 'image', 'select', 'format', 'doubt', 'trouble', 'product', 'company', 'make', 'suggestion', 'submit', 'request', 'feature', 'following', 'tool', 'go', 'bravecl.com', 'find', 'frequently', 'asked', 'question', 'list', 'application', 'tutorial', 'more…', 'also', 'send', 'bravecl.com', 'respond', 'soon', 'important', 'constantly', 'improve']",Multimedia design  >  Illustration & graphic design
4302,,"['coming', 'time', 'find', 'different', 'type', 'calendar', 'coming', 'year', 'calendar', 'template', 'layout', 'photoshop', ""'ll"", 'find', 'amazing', 'template', 'calendar', 'ready', 'lauch', 'photoshop', 'design', 'calendar', 'photoshop', 'using', 'template', 'give', 'look', 'template', 'psd', 'file', 'enjoy', 'amazing', 'calendar', 'template', 'template', 'psd', 'file', 'easy', 'load', 'photoshop', 'exclusive', 'template', 'select', 'template', 'left', 'side', 'image', 'preview', 'template', 'chose', 'appear', 'screen', 'click', 'launch', 'image', 'launch', 'template', 'photoshop', 'using', 'photoshop', 'edit', 'image', 'way', 'done', 'doubt', 'trouble', 'product', 'company', 'make', 'suggestion', 'submit', 'request', 'feature', 'following', 'tool', 'go', 'bravecl.com', 'find', 'frequently', 'asked', 'question', 'list', 'application', 'tutorial', 'more…', 'also', 'send', 'bravecl.com', 'respond', 'soon', 'important', 'constantly', 'improve']",Multimedia design  >  Illustration & graphic design
4303,,"['ever', 'wanted', 'combine', 'two', 'photo', 'saw', 'done', 'professional', 'know', 'camera', 'mix', 'photo', 'editor', 'image', 'effect', 'contains', 'category', 'texture', 'leave', 'image', 'great', 'style', 'great', 'surprising', 'love', 'family', 'friend', 'select', 'image', 'contained', 'moment', 'create', 'beautiful', 'photographic', 'effect', 'combine', 'favorite', 'moment', 'make', 'last', 'forever', 'enjoy', 'amazing', 'blend', 'effect', 'designed', 'effect', 'category', 'universe', 'city', 'love', 'vintage', 'nature', 'light', 'christmas', 'happy', 'birthday', 'image', 'automatic', 'easy', 'powerful', 'load', 'image', 'using', 'open', 'image', 'button', 'select', 'category', 'clicking', 'select', 'effect', 'click', ""'ll"", 'added', 'image', 'move', 'filter', 'transparency', 'slide', 'change', 'transparency', 'back', 'select', 'another', 'category', 'click', 'image', 'arrow', 'click', 'save', 'select', 'folder', 'save', 'image', 'doubt', 'trouble', 'product', 'company', 'make', 'suggestion', 'submit', 'request', 'feature', 'following', 'tool', 'go', 'bravecl.com', 'find', 'frequently', 'asked', 'question', 'list', 'application', 'tutorial', 'more…', 'also', 'send', 'bravecl.com', 'respond', 'soon', 'important', 'constantly', 'improve']",Multimedia design  >  Illustration & graphic design
