,package,description,category
1,,"['display', 'color', 'variant', 'selected', 'accent', 'color', 'color', 'variant', 'information', 'includes', 'resource', 'name', 'xaml', 'html', 'hex', 'string', 'rgb', 'color', 'code', 'allows', 'quickly', 'previewing', 'accent', 'color', 'variant', 'without', 'alter', 'window', 'accent', 'color', 'setting', 'window', 'setting', 'personalization', 'color']",Developer tools  >  Design tools
29,,"['check', 'bluebird', 'ef500', 'battery', 's/n']",Developer tools  >  Utilities
64,,"['hp', 'po', 'demo', 'application', 'demostrates', 'hp', 'retail', 'solution']",Developer tools  >  Utilities
162,,"['example', 'application', 'show', 'pulse', 'train', 'hat', 'pthat', 'changing', 'speed', 'fly', 'accurate', 'motor', 'speed', 'control', 'application', 'window', 'pthat', 'connected', 'via', 'stand', 'alone', 'adapter', 'via', 'usb', 'port', 'also', 'version', 'application', 'source', 'code', 'raspberry', 'pi', 'computer', 'full', 'demonstration', 'video', 'information', 'found', '//pthat.com/index.php/examples/', 'pulse', 'train', 'hat', 'add-on', 'board', 'rapsberry', 'pi', 'computer', 'used', 'stand', 'alone', 'usb', 'serial', 'adapter', 'board', 'allows', 'clean', 'fast', 'accurate', 'pulse', 'created', 'using', 'simple', 'ascii', 'command', 'many', 'hardware', 'design', 'variable', 'frequency', 'pulse', 'needed', 'popular', 'driving', 'stepper/servo', 'motor', 'pulse', 'direction', 'line', 'motor', 'found', 'machine', '3d', 'printer', 'cnc', 'machine', 'robot', 'arm', 'mention', 'endless', 'motion', 'control', 'automation', 'machine', 'controlling', 'motor', 'may', 'seem', 'simple', 'detailed', 'control', 'become', 'confusing', 'big', 'learning', 'curve', 'pthat', 'pulse', 'train', 'hat', 'add-on', 'raspberry', 'pi', 'plan', 'make', 'task', 'simple', 'allow', 'everyone', 'easily', 'create', 'automation', 'product', 'controlling', 'motor', 'lot', 'different', 'task', 'consider', 'speed', 'ramping', 'interpolation', 'accuracy', 'counter', 'gearing', 'mention', 'full', 'information', 'found', 'pulse', 'train', 'hat', '//www.pthat.com']",Developer tools  >  Utilities
181,,"['example', 'application', 'show', 'pulse', 'train', 'hat', 'pthat', 'controlling', 'cnc', 'machine', 'pick', 'place', 'application', 'window', 'pthat', 'connected', 'via', 'stand', 'alone', 'adapter', 'via', 'usb', 'port', 'also', 'version', 'application', 'source', 'code', 'raspberry', 'pi', 'computer', 'full', 'demonstration', 'video', 'information', 'found', '//pthat.com/index.php/examples/', 'pulse', 'train', 'hat', 'add-on', 'board', 'rapsberry', 'pi', 'computer', 'used', 'stand', 'alone', 'usb', 'serial', 'adapter', 'board', 'allows', 'clean', 'fast', 'accurate', 'pulse', 'created', 'using', 'simple', 'ascii', 'command', 'many', 'hardware', 'design', 'variable', 'frequency', 'pulse', 'needed', 'popular', 'driving', 'stepper/servo', 'motor', 'pulse', 'direction', 'line', 'motor', 'found', 'machine', '3d', 'printer', 'cnc', 'machine', 'robot', 'arm', 'mention', 'endless', 'motion', 'control', 'automation', 'machine', 'controlling', 'motor', 'may', 'seem', 'simple', 'detailed', 'control', 'become', 'confusing', 'big', 'learning', 'curve', 'pthat', 'pulse', 'train', 'hat', 'add-on', 'raspberry', 'pi', 'plan', 'make', 'task', 'simple', 'allow', 'everyone', 'easily', 'create', 'automation', 'product', 'controlling', 'motor', 'lot', 'different', 'task', 'consider', 'speed', 'ramping', 'interpolation', 'accuracy', 'counter', 'gearing', 'mention', 'full', 'information', 'found', 'pulse', 'train', 'hat', '//www.pthat.com']",Developer tools  >  Utilities
193,,"['bluebird', 'bp30', 'device', 'check', 'window', 'rs3']",Developer tools  >  Utilities
237,,"['check', 'bluebird', 'bp30', 'terminal', 'battery', 's/n']",Developer tools  >  Utilities
311,,"['6071w', 'device', 'system', 'function', 'test', 'usage']",Developer tools  >  Design tools
322,,"['used', 'call', 'sft', 'dialer', 'codes。']",Developer tools  >  Design tools
343,,"['hp', 'lap', 'dock', 'wireless', 'setting', 'update', 'wireless', 'module', 'firmware', 'rename', 'hp', 'lap', 'dock']",Developer tools  >  Networking
563,,"['bundle', 'test']",Developer tools
589,,"['demonstrates', 'different', 'type', 'ad', 'used', 'window', 'store', 'mobile', 'size', 'type', 'ad', 'demonstrated', 'using', 'real', 'interactive', 'ad', 'user', 'interact', 'ad', 'actually', 'understanding', 'different', 'type', 'available', 'developer', 'creator', 'plan', 'ad', 'utilize', 'maximum', 'screen', 'space', 'lay', 'content', 'simple', 'code', 'sample', 'included', 'note', 'video', 'ad', 'take', 'second', 'load', 'appear', 'instantly']",Developer tools  >  Reference & training
761,,"['start', 'simple', 'wifi', 'access', 'point', 'start', 'listener', 'gateway', 'ip', 'port', 'handle', 'simple', 'request']",Developer tools  >  Networking
