,package,description,category
165,,"['learn', 'early', 'paycheck', 'using', 'cash', 'advance', 'done', 'using', 'several', 'different', 'tool', 'learn', 'right', 'download', 'cash', 'advance', 'short-term', 'lending', 'coming', 'bank', 'alternative', 'loan', 'provider', 'phrase', 'also', 'describes', 'solution', 'provided', 'numerous', 'credit', 'card', 'issuer', 'enabling', 'cardholder', 'withdraw', 'certain', 'amount', 'money', 'cash', 'advance', 'typically', 'feature', 'steep', 'rate', 'interest', 'and/or', 'fee', 'however', 'attractive', 'borrower', 'since', 'also', 'feature', 'fast', 'approval', 'quick', 'funding', 'type', 'cash', 'advance', 'selection', 'cash', 'advance', 'however', 'typical', 'denominator', 'among', 'every', 'high', 'rate', 'interest', 'fee', 'credit', 'card', 'cash', 'advance', 'popular', 'type', 'cash', 'advance', 'borrowing', 'line', 'credit', 'via', 'charge', 'card', 'money', 'withdrawn', 'atm', 'depending', 'upon', 'credit', 'card', 'company', 'check', 'deposited', 'cashed', 'bank', 'account', 'merchant', 'cash', 'advance', 'merchant', 'cash', 'advance', 'describe', 'lending', 'obtained', 'business', 'merchant', 'coming', 'bank', 'lender', 'typically', 'business', 'less-than-perfect', 'credit', 'utilize', 'cash', 'advance', 'finance', 'activity', 'many', 'case', 'advance', 'really', 'paid', 'using', 'future', 'credit', 'card', 'receipt', 'portion', 'fund', 'service', 'get', 'revenue', 'online', 'account', 'rather', 'using', 'company', 'credit', 'rating', 'alternative', 'lender', 'frequently', 'check', 'credit', 'reliability', 'taking', 'look', 'several', 'data', 'factor', 'including', 'much', 'money', 'merchant', 'receives', 'online', 'account', 'paypal', 'payday', 'loan', 'individual', 'lending', 'phrase', 'cash', 'advance', 'may', 'also', 'refer', 'payday', 'loan', 'issued', 'special', 'payday', 'loan', 'provider', 'vary', 'anywhere', 'come', 'along', 'fee', 'interest', 'rate', 'surpassing', 'hundred', 'percent', 'instead', 'taking', 'account', 'borrower', 'credit', 'rating', 'lender', 'determines', 'extent', 'lending', 'based', 'upon', 'local', 'state', 'regulation', 'scale', 'candidate', 'paycheck', 'loan', 'approved', 'loan', 'provider', 'hand', 'customer', 'money', 'transaction', 'take', 'place', 'online', 'lender', 'make', 'electronic', 'deposit', 'customer', 'checking', 'saving', 'account', 'cash', 'advance', 'hurt', 'credit', 'rating', 'getting', 'cash', 'advance', 'explicit', 'impact', 'credit', 'credit', 'rating', 'affect', 'indirectly', 'various', 'way', 'learn', 'cash', 'advance', 'pro', 'con', 'credit', 'card', 'cash', 'advance', 'might', 'sensible', 'alternative', 'someone', 'emergency', 'money', 'restricted', 'resource', 'getting', 'particularly', 'person', 'clear', 'sensible', 'plan', 'action', 'paying', 'back', 'money', 'short', 'period', 'however', 'cash', 'advance', 'would', 'poor', 'recommendation', 'condition', 'learn', 'condition', 'miss', 'opportunity', 'learn', 'priceless', 'knowledge', 'download']",Personal finance  >  Budgeting & taxes
353,,"['saiba', 'qual', 'opção', 'mais', 'barata', 'na', 'hora', 'de', 'comprar', 'cerveja', 'ou', 'refrigerante', 'quando', 'você', 'encontrar', 'diferentes', 'produtos', 'conteúdo', 'e', 'preços', 'muito', 'semelhantes', 'qual', 'comprar', 'cerveja', '269ml', '350ml', '473ml', 'refrigerante', '350ml', '600ml', '1000ml', 'etc', 'aplicativo', 'comparador', 'de', 'bebidas', 'permite', 'que', 'você', 'compare', 'o', 'preços', 'de', 'diferentes', 'produtos', 'e', 'escolher', 'produto', 'melhor', 'valor/quantidade']",Personal finance
385,,"['record', 'price', 'pay', 'item', 'commonly', 'purchase', 'item', 'shopping', 'elsewhere', 'see', 'item', 'determine', 'bargain', 'compared', 'usually', 'pay', 'product', 'buy', 'regularly', 'orange', 'juice', 'diet', 'coke', 'milk', 'toilet', 'paper', 'diaper', 'parmesan', 'cheese', 'version', 'fix', 'problem', 'may', 'occur', 'adding', 'store', 'fix', 'problem', 'displaying', 'ad']",Personal finance
396,,"['mobile', 'banking', 'application', 'greater', 'bombay', 'co-operative', 'bank', 'limited']",Personal finance
422,,"['simple', 'see', 'quickly', 'ease', 'much', 'quark', 'coin', 'worth', 'cryptocoincharts.com', 'work', 'right', 'since', 'cryptsy', 'went', 'business', 'bter.com', 'two', 'biggest', 'market']",Personal finance  >  Banking & investments
436,,"['rhondda', 'housing', 'association', 'tenant', 'dedicated', 'customer', 'access', 'following', 'straight', 'mobile', 'tablet', 'device', 'manage', 'rent', 'account', 'including', 'payment', 'query', 'view', 'paperless', 'rent', 'statement', 'update', 'detail', 'report', 'repair', 'track', 'outstanding', 'repair', 'report', 'anti-social', 'behaviour', 'u', 'keep', 'date', 'latest', 'rha', 'news']",Personal finance  >  Budgeting & taxes
492,,"['turn', 'window', 'phone', 'mobile', 'point-of-sale', 'mpos', 'jusp', 'allows', 'accept', 'credit', 'debit', 'prepaid', 'card', 'paying', 'per', 'transaction', 'additional', 'charge', 'order', 'card', 'reader', 'jusp', 'online', 'www.jusp.com', 'download', 'connect', 'device', 'phone', 'immediately', 'accept', 'payment', 'optimised', 'window', 'phone', 'choose', 'jusp', 'simple', 'mode', 'faster', 'setup', 'advanced', 'mode', 'faster', 'checkout', 'business', 'transaction', 'simple', 'mode', 'manually', 'input', 'amount', 'collected', 'send', 'purchase', 'receipt', 'customer', 'via', 'sm', 'also', 'pair', 'device', 'bluetooth-compatible', 'printer', 'print', 'paper', 'receipt', 'advanced', 'mode', 'includes', 'additional', 'charge', 'favorite', 'select', 'list', 'product', 'sell', 'often', 'product', 'inventory', 'manage', 'product', 'catalogue', 'divided', 'category', 'payment', 'select', 'alternative', 'payment', 'method', 'card', 'cash', 'voucher', 'shopping', 'cart', 'edit/confirm', 'list', 'product', 'sold', 'history', 'show', 'payment', 'history', 'date', 'export', 'customised', 'report', 'problem', 'difficulty', 'using', 'service', 'jusp', 'directly', 'menu', 'profile', 'man', 'icon', 'top-left']",Personal finance
503,,"['trace', 'apartment', 'house', 'water', 'consumption', 'application', 'manages', 'different', 'place', 'let', 'record', 'water', 'reading', 'anytime', 'data', 'provides', 'statistic', 'regarding', 'consumption']",Personal finance  >  Budgeting & taxes
552,,"['application', 'help', 'easily', 'quickly', 'calculate', 'loan', 'calculate', 'monthly', 'payment', 'total', 'payment', 'total', 'interest', 'payment', 'amortization', 'month', 'amortization', 'year', 'version', 'initial', 'release', 'version', 'amortization', 'year', 'minor', 'fix']",Personal finance
590,,"['expenditure', 'application', 'provides', 'simple', 'unique', 'approach', 'problem', 'managing', 'expense', 'income', 'optimizing', 'way', 'spending', 'money', 'also', 'analyzing', 'expense', 'income', 'provide', 'statistic', 'spend', 'money', 'gain', 'spend', 'money', 'statistic', 'made', 'available', 'application', 'different', 'criterion', 'select', 'getting', 'statistic', 'given', 'period', 'given', 'budget', 'also', 'alerted', 'time', 'spend', 'money', 'threshold', 'determine', 'per', 'budget']",Personal finance  >  Budgeting & taxes
