,package,description,category
239,,"['el', 'dueño', 'de', 'esta', 'solo', 'brindan', 'el', 'espacio', 'para', 'los', 'restaurantes', 'patio', 'de', 'comida', 'se', 'responsabilizan', 'por', 'mala', 'atención', 'falta', 'de', 'entrega', 'malos', 'productos', 'falta', 'de', 'respeto', 'el', 'dueño', 'se', 'reserva', 'los', 'derechos', 'de', 'uso', 'permanecía', 'de', 'clientes', 'restaurantes', 'desde', 'ya', 'disculpen', 'cualquier', 'inconveniente']",Food & dining
421,,"['beerbasher', 'premium', 'beer', 'reference', 'rating', 'window', 'phone', 'lookup', 'beer', 'world', 'using', 'simple', 'keyword', 'search', 'scanning', 'barcode', 'see', 'others', 'thought', 'info', 'brewery', 'place', 'found', 'beerbasher', 'take', 'note', 'beer', ""'ve"", 'add', 'favourite', 'even', 'find', 'good', 'pub', 'near', 'matter', 'using', 'ratebeer', 'exhaustive', 'beer', 'database', 'beerbasher', 'provides', 'complete', 'set', 'beer', 'information', 'possible', 'registered', 'ratebeer', 'user', 'beerbasher', 'full-featured', 'rating', 'rate', 'beer', 'check', 'place', 'take', 'part', 'ratebeer', 'discussion', 'forum', 'event', 'much']",Food & dining
511,,"['baculator', 'easy', 'tool', 'calculate', 'current', 'body', 'alcohol', 'concentration', 'application', 'help', 'user', 'calculate', 'body', 'alcohol', 'content', 'based', 'gender', 'weight', 'many', 'drink', 'user', 'specified', 'three', 'thing', 'see', 'effect', 'alcohol', 'system', 'long', 'way', 'legally', 'binding', 'please', 'drink', 'responsibly']",Food & dining
573,,"['mango', 'internal', 'code', 'name', 'window', 'phone', 'release', 'course', 'name', 'delicious', 'tropical', 'fruit', 'many', 'way', 'mango', 'example', 'pie', 'salad', 'range', 'cocktail', 'mango', 'also', 'said', 'provide', 'number', 'health', 'benefit', 'interesting', 'cultural', 'history', 'mangolicious', 'window', 'phone', 'mango', 'application', 'mango', 'application', 'provides', 'detailed', 'thoroughly', 'tested', 'mango', 'food', 'recipe', 'cocktail', 'also', 'offer', 'range', 'interesting', 'mango', 'fact', 'even', 'simple', 'mango', 'said', 'driving', 'force', 'developing', 'explore', 'big', 'release', 'specifically', 'local', 'database', 'linq2sql', 'secondary', 'tile', 'deep', 'linking', 'silverlight/xna', 'integration']",Food & dining
574,,"['baconator', 'simple', 'offer', 'set', 'bacon-themed', 'food', 'recipe', 'bacon', 'jigsaw', 'puzzle', 'simple', 'bacon-themed', 'also', 'find', 'diner', 'local', 'area', 'likely', 'serve', 'bacon', 'finally', 'bacon-camera', 'process', 'raw', 'camera', 'pipeline', 'provide', 'bacon', 'effect', 'photo', 'take', 'developer', 'perspective', 'baconator', 'based', 'mangolicious', 'accompanies', 'nov-2011', 'msdn', 'magazine', 'article', 'developing', 'window', 'phone', '//msdn.microsoft.com/en-us/magazine/hh547105.aspx', 'baconator', 'build', 'exact', 'framework', 'us', 'mvvm', 'largely', 'data-driven', 'releasing', 'baconator', 'partly', 'experiment', 'see', 'far', 'take', 'framework', 're-use', 'another', 'reason', 'exercise', 'raw', 'camera', 'pipeline', 'processing', 'bingmapstask', 'enhanced', 'backstack', 'management', 'improved', 'adcontrol', 'final', 'reason', 'publishing', 'baconator', 'course', 'bacon', 'capability', 'list', 'note', 'turn', 'location/data', 'service', 'owner', 'identity', 'usage', 'adcontrol', 'standard', 'also', 'turn', 'adcontrol', 'v1.1', 'fixed', 'crashing', 'bug', 'camera', 'added', 'setting', 'turn', 'ad', 'softened', 'sound', 'speeded', 'camera', 'processing', 'simplifying', 'bacon', 'effect', 'v1.2', 'fixed', 'another', 'camera', 'bug']",Food & dining
604,,"['estia', 'po', 'retail', 'system', 'mobile', 'application']",Food & dining
647,,"['z', 'best', 'dining', 'entertainment', 'exclusive', 'money', 'saving', 'offer', 'right', 'fingertip', 'z', 'best', 'dining', 'entertainment', 'offer', 'premier', 'discount', 'coupon', 'fundraising', 'book', 'greater', 'sacramento', 'solano', 'county', 'fresno/clovis', 'reno/sparks', 'since', 'helping', 'school', 'community', 'group', 'raise', 'fund', 'local', 'merchant', 'promote', 'grow', 'business', 'people', 'throughout', 'community', 'save', 'money', 'famous', 'national', 'chain', 'local', 'merchant', 'z', 'best', 'dining', 'entertainment', 'offer', 'coupon', 'saving', 'everyone', 'love', 'search', 'search', 'z', 'best', 'huge', 'selection', 'merchant', 'find', 'favorite', 'restaurant', 'entertainment', 'venue', 'search', 'name', 'location', 'let', 'find', 'merchant', 'based', 'current', 'location', 'offer', 'see', 'offer', 'locate', 'coupon', 'current', 'z', 'best', 'dining', 'entertainment', 'book', 'navigate', 'z', 'best', 'map', 'merchant', 'location']",Food & dining
701,,"['mexican', 'cuisine', 'application', 'window', 'phone', 'collection', 'simple', 'mexican', 'recipe', 'tried', 'liked', 'none', 'recipe', 'made', 'take', 'credit', 'awesomeness', 'application', 'simply', 'open', 'recipe', 'make', 'beautiful', 'food', 'following', 'instruction', 'enjoy', 'beautiful', 'food']",Food & dining
715,,"['recipe', 'tamil', 'find', 'recipe', 'tamil', 'description', 'also', 'search', 'english', 'tamil', 'lot', 'category', 'added', 'simple', 'tamilnadu', 'recipe', 'veg', 'veg', 'recipe']",Food & dining
719,,"['baking', 'cake', 'could', 'never', 'fun', 'basically', 'cookbook', 'cakes.what', 'make', 'unique', 'fun', 'usage', 'gesture', 'maneuver', 'steps.using', 'laptop', 'tablet', 'safe', 'distance', 'cooking', 'bench', 'natural', 'hand', 'gesture', 'explore', 'variety', 'mouth', 'watering', 'cake', 'bake', 'easy', 'step']",Food & dining
