,package,description,category
285,,"['learn', 'fun', 'abc', 'child', 'simple', 'learn', 'english', 'alphabet', 'audio', 'image']",Kids & family
479,,"['ordered', 'pizza', 'takeaway', 'pizzeria', 'click', 'choose', 'pizza', 'select', 'pizza', 'among', 'already', 'entered', 'pizza', 'choice', 'immediately', 'visible', 'modify', 'list', 'pizza', 'choice', 'clicking', 'name', 'pizza', 'eliminated', 'list', 'called', 'pizzeria', 'ready', 'ordering', 'pizzaiolo', 'pizzeria', 'impress', 'show', 'come', 'take', 'order', 'list', 'pizza', 'already', 'prepared', 'list', 'pizza', 'choice', 'delete', 'pressing', 'clear', 'list', 'order', 'pizza', 'button', 'add', 'pizza', 'menu', 'create', 'custom', 'menu', 'putting', 'name', 'pizza', 'ingredient', 'see', 'full', 'menu', 'pizza', 'entered', 'key', 'bill', 'pay', 'easily', 'calculate', 'amount', 'paid', 'per', 'person', 'bon', 'appetite']",Kids & family
909,,"['welcome', 'thematica', 'national', 'park', 'ooops', 'seems', 'somebody', 'hide', 'savanna', 'let', 'catch', 'tail', 'oh', 'animal', 'pretty', 'curious', 'easy', 'trail', 'bring', 'amazing', 'african', 'savanna', 'glorious', 'plant', 'kingdom', 'marvelous', 'wild', 'animal', 'little', 'explorer', 'need', 'smart', 'fast', 'thinking', 'savanna', 'animal', 'camera', 'backpack', 'let', 'make', 'funny', 'picture', 'little', 'turtle', 'dancing', 'mongoose', 'wizing', 'parrot', 'animal', 'curious', 'attentive', 'fast', 'make', 'picture', 'look', 'little', 'sweet', 'monkey', 'sleep', 'let', 'mommy', 'monkey', 'nursing', 'little', 'one', 'gadabout', 'monkey', 'little', 'kid', 'getting', 'bed', 'catch', 'cute', 'come', 'watering', 'place', 'see', 'yeah', 'mommy', 'elephant', 'trying', 'give', 'wash', 'kid', 'little', 'elephant', 'swam', 'dirty-dirty', 'paddle', 'sooo', 'dirty', 'let', 'mommy', 'elephant', 'let', 'feed', 'long-necked', 'giraffe', 'colorful', 'chameleon', 'handsome', 'pelican', 'interesting', 'cause', 'animal', 'eat', 'different', 'food', 'also', 'find', 'mommy', 'ostrich', 'find', 'setting', 'let', 'seems', 'hidden', 'sand', 'helping', 'mommy', 'ostrich', 'make', 'really', 'happy', 'really', 'interesting', 'exciting', 'lot', 'beautiful', 'animation', 'kid', 'learn', 'lot', 'wild', 'savanna', 'animal', 'live', '-kid-friendly', 'gameplay', 'mini', '-interesting', 'animation', '-learning', 'playing', '-teaching', 'kid', 'love', 'animal', '-showing', 'amazing', 'savanna', 'world']",Kids & family
915,,"['concentration', 'memory', 'entire', 'family', 'fun', 'people', 'age', 'find', 'matching', 'photo', 'little', 'attempt', 'possible', 'try', 'improve', 'score', 'ad', 'four', 'different', 'type', 'image', 'three', 'level', 'increase', 'concentration', 'memory', 'power']",Kids & family
944,,"['traveling', 'baby', 'baby', 'feeling', 'restless', 'difficulty', 'sleeping', 'baby', 'baby', 'lullaby', 'baby', 'soother', 'sleep', 'soothe', 'baby', 'sweet', 'music', 'box', 'lullaby', 'soft', 'soundscapes', 'even', 'recorded', 'voice', 'offering', 'calming', 'animated', 'dream', 'show', 'real', 'pullstring', 'toy', 'slide', 'virtual', 'pullstring', 'start', 'musical', 'lullaby', 'show', 'adorable', 'pullstring', 'toy', 'character', 'classic', 'music', 'box', 'melody', 'including', 'brahms', 'lullaby', 'rock-a-bye', 'baby', 'baby-friendly', 'soundscapes', 'featuring', 'various', 'soothing', 'nature', 'sound', 'record', 'lullaby', 'sung', 'voice', 'medley', 'looping', 'playback', 'color', 'choice', 'wallpaper', 'match', 'baby', 'room', 'mood', 'dream', 'show', 'wheel', 'animated', 'fairy', 'star', 'snow', 'bubble', 'entertain', 'baby', 'tapping', 'toy', 'hear', 'infectiously', 'cute', 'chuckle', 'toy', 'see', 'lovely', 'heart', 'sent', 'built-in', 'baby', 'rattle', 'jiggle', 'device', 'configurable', 'sleep', 'timer', 'minute', 'option', 'in-app', 'music', 'using', 'background', 'audio', 'player', 'mommy', 'daddy', 'switch', 'browsing', 'checking', 'inbox', 'keeping', 'baby', 'tuned', 'background', 'music', 'note', 'trial', 'version', 'time-limited', 'paid', 'version', 'remove', 'ad', 'restriction']",Kids & family
991,,"['hello', 'entered', 'world', 'cat', 'host', 'kitty', 'dress', 'boy', 'girl', 'make', 'kitty', 'cat', 'beautiful', 'pet', 'world', 'enjoy', 'stay', 'animal', 'would', 'glad', 'cat', 'daycare', 'interesting', 'pet', 'dress', 'dress', 'cat', 'thousand', 'thousand', 'combination', 'cat', 'clothes', 'accessory', 'kitty', 'dress', 'perfect', 'kid', 'adult', 'fun', 'hour', 'looking', 'educational', 'kid', 'fun', 'make', 'cat', 'purrfect', 'complete', 'makeover', 'turn', 'kitten', 'ordinary', 'cat', 'glamorous', 'make', 'look', 'came', 'pet', 'salon', 'find', 'best', 'cat', 'costume', 'match', 'adequate', 'cat', 'accessory', 'find', 'background', 'scene', 'place', 'cute', 'cat', 'room', 'birthday', 'party', 'fair', 'cat', 'climb', 'lot', 'put', 'tree', 'rooftop', 'let', 'enjoy', 'make', 'cat', 'pet', 'pretty', 'changing', 'color', 'fur', 'putting', 'different', 'fashionable', 'clothes', 'add', 'different', 'cat', 'accessory', 'necklace', 'earring', 'glass', 'find', 'right', 'hat', 'appropriate', 'different', 'occasion', 'cat', 'find', 'item', 'cat', 'choose', 'among', 'balloon', 'ball', 'different', 'cat', 'toy', 'present', 'birthday', 'party', 'download', 'turn', 'music', 'press', 'start', 'choose', 'button', 'piece', 'clothing', 'click', 'button', 'find', 'perfect', 'item', 'click', 'shuffle', 'button', 'make', 'random', 'combination', 'finished', 'click', 'button', 'satisfied', 'image', 'kitty', 'made', 'using', 'pet', 'dress', 'share', 'facebook', 'save', 'gallery', 'set', 'image', 'set', 'wallpaper', 'say', 'hello', 'kitty', 'enjoy']",Kids & family
993,,"['bunny', 'dress', 'kid', 'hop', 'window', 'phone', 'another', 'bunny', 'dress', 'door', 'download', 'let', 'honey', 'bunny', 'usual', 'bunny', 'cute', 'sweet', 'make', 'blood', 'sugar', 'rise', 'rapidly', 'plus', 'standard', 'pet', 'either', 'cat', 'dog', 'instead', 'unusual', 'bunny', 'pet', 'dress', 'girl', 'town', 'follow', 'latest', 'trend', 'fashion', 'enjoy', 'download', 'turn', 'music', 'press', 'start', 'choose', 'button', 'piece', 'clothing', 'accessorize', 'background', 'click', 'button', 'find', 'perfect', 'item', 'click', 'shuffle', 'button', 'make', 'random', 'combination', 'finished', 'click', 'button', 'share', 'bunny', 'image', 'friend', 'keep', 'wallpaper', 'dress', 'bunny', 'feel', 'funny', 'bunny', 'mania', 'started', 'resist', 'part', 'say', 'mean', 'toddler', 'kid', 'adult', 'animal', 'addicting', 'doc', 'confused', 'download', 'dress', 'try', 'girl', 'hand', 'boy', 'gal', 'love', 'animal', 'care', 'pretty', 'lot', 'different', 'costume', 'girl', 'dress', 'bunny', 'imagine', 'hopping', 'salon', 'parlor', 'either', 'way', 'enjoy', 'rabbit', 'irresistible', 'kid', 'dress', 'satisfied', 'image', 'bunny', 'rabbit', 'made', 'using', 'pet', 'dress', 'keep', 'rabbit', 'hole', 'share', 'lovely', 'animal', 'facebook', 'save', 'gallery', 'set', 'image', 'set', 'wallpaper', 'beautify', 'home', 'screen', 'let', 'whole', 'world', 'see', 'got', 'bunny', 'friend']",Kids & family
1270,,"['mathematics', 'number', 'child', 'learn', 'count', 'mathematics', 'number', 'child', 'child', 'quickly', 'easily', 'learn', 'count', 'count', 'animal', 'child', 'paint', 'remember', 'number', 'full', 'version', 'application', 'contains', 'pronunciation', 'number', 'well', 'additional', 'educational', 'study', 'process', 'available', 'english']",Kids & family
1295,,"['application', 'form', 'kid', 'child', 'quickly', 'learn', 'basic', 'shape', 'object', 'educational', 'quickly', 'learn', 'appropriate', 'form', 'fun', 'full', 'version', 'contains', 'audio', 'pronunciation', 'name', 'form', 'well', 'additional', 'educational', 'learn', 'form', 'shape', 'russian', 'english', 'german', 'option', 'selected', 'via', 'setting', 'application']",Kids & family
1308,,"['passionate', 'fashion', 'makeover', 'best', 'fashion', 'makeover', 'stylist', 'create', 'style', 'wonderful', 'wedding', 'makeover', 'follow', 'latest', 'fashion', 'trend', 'clothing', 'outfit', 'makeover', 'leave', 'coming', 'back', 'opportunity', 'fully', 'express', 'creativity', 'sense', 'style', 'fashion', 'makeover', 'wonderful', 'wedding', 'makeover', 'fantastic', 'makeover', 'going', 'meet', 'princess', 'give', 'makeover', 'created', 'beautiful', 'pleasant', 'makeup', 'room', 'princess', 'room', 'find', 'item', 'needed', 'giving', 'fantastic', 'makeover', 'facial', 'care', 'product', 'created', 'using', 'fruit', 'flower', 'herb', 'barbie', 'love', 'facial', 'product', 'made', 'using', 'natural', 'ingredient', 'natural', 'skin', 'care', 'product', 'created', 'definitely', 'make', 'face', 'shiny', 'makeup', 'item', 'outfit', 'accessory', 'carefully', 'created', 'makeup', 'artist', 'fashion', 'designer', 'many', 'fashion', 'expert', 'ready', 'give', 'friend', 'princess', 'cool', 'makeover', 'make', 'spa', 'step', 'step', 'different', 'color', 'makeover', 'eye', 'eyelash', 'ton', 'hair', 'pin', 'make', 'hair', 'style', 'better', 'ton', 'dress', 'accessory', 'dress', 'share', 'design', 'friend', 'face', 'book', 'save', 'makeover', 'phone', 'future', 'reference']",Kids & family
