,package,description,category
380,,"['locate', 'nearest', 'public', 'toilet', 'australia', 'great', 'aid', 'tourist', 'traveller', 'parent', 'young', 'child', 'elderly', 'fact', 'anyone', ""'needs"", 'go', 'want', 'know', 'hurry', ""'where"", 'go', 'us', 'australian', 'government', 'public', 'toilet', 'database', 'optionally', 'using', 'phone', 'gps', 'show', 'nearest', 'location', 'provides', 'summary', 'facility', 'provided']",Navigation & maps
387,,"['update', 'version', 'bug', 'fix', 'added', 'notification', 'location', 'automatically', 'updated', 'added', 'setting', 'enable', 'disable', 'notification', 'version', 'assign', 'bluetooth', 'device', 'marker', 'phone', 'disconnect', 'bluetooth', 'device', 'automatically', 'save', 'current', 'position', 'time', 'disconnect', 'redesigned', 'screen', 'third', 'party', 'mapping', 'direction', 'marked', 'location', 'version', 'speech', 'recognition', 'disabled', 'speech', 'recognition', 'service', 'language', 'region', 'supported', 'added', 'localization', 'following', 'language', 'please', 'let', 'know', 'translation', 'incorrect', 'dutch', 'french', 'german', 'italian', 'spanish', 'version', 'fixed', 'bug', 'caused', 'occasionally', 'crash', 'startup', 'phone', 'outside', 'united', 'state', 'update', 'make', 'map', 'responsive', 'version', 'added', 'learning', 'mode', 'using', 'voice', 'command', 'location', 'changed', 'pricing', 'model', 'added', 'in-app', 'purchase', 'option', 'remove', 'ad', 'save', 'multiple', 'location', 'fixed', 'bug', 'displaying', 'ad', 'version', 'minor', 'bug', 'fix', 'version', 'added', 'tab', 'minor', 'bug', 'fix', 'version', 'initial', 'release', 'trial', 'version', 'save', 'single', 'location', 'voice', 'command', 'think', 'parked', 'next', 'lamp', 'post', 'thought', 'parked', 'farther', 'away', 'everyone', 'moment', 'ca', 'remember', 'parked', 'car', 'big', 'event', 'x-marks', 'spot', 'let', 'track', 'easily', 'find', 'parked', 'car', 'using', 'gps', 'mapping', 'software', 'mark', 'location', 'hotel', 'camping', 'ground', 'storage', 'unit', 'anything', 'else', 'easily', 'navigation', 'find', 'way', 'back']",Navigation & maps
441,,"['public', 'toilet', 'helsinki', 'helsinki', 'wc', 'show', 'location', 'public', 'toilet', 'helsinki', 'area', 'plus', 'distance', 'location', 'also', 'tell', 'toilet', 'closest', 'notifies', 'range', 'le', '100m', 'toilet']",Navigation & maps
488,,"['навигациска', 'апликација', 'која', 'ја', 'покажува', 'локацијата', 'на', 'секој', 't-home', 'хот-спот', 'точка', 'во', 'македонија', 'во', 'реално', 'време', 'на', 'мапа.моменталната', 'локација', 'на', 'корисникот', 'и', 'локациите', 'на', 'телеком', 'хотспотовите', 'е', 'означено', 'со', 'push-pins', 'со', 'tap', 'евент', 'на', 'секој', 'push', 'pin', 'можете', 'да', 'ги', 'видите', 'адресата', 'и', 'повеќе', 'информации', 'за', 'мрежната', 'доспатност', 'апликацијата', 'вклучува', '1.утврдување', 'и', 'зачувување', 'на', 'локацијата', 'на', 'корисникот', '2.можност', 'за', 'вклучување/ислкучување', 'на', 'локациите', '3.преглед', 'на', 't-home', 'продавници', 'на', 'ниво', 'на', 'цела', 'македонија', '4.преглед', 'на', 't-home', 'хот', 'спотови', 'на', 'ниво', 'на', 'цела', 'македонија', 'по', 'градови', 'региони']",Navigation & maps
540,,"['phototrip', 'organizing', 'picture', 'memory', 'trip', 'allows', 'create', 'trip', 'add', 'picture', 'edit', 'pic', 'caption', 'description', 'additionally', 'check', 'map', 'location', 'recent', 'trip']",Navigation & maps
683,,"['nysse', 'easy', 'helsinki', 'joensuu', 'jyväskylä', 'kuopio', 'lahti', 'tampere', 'turku', 'oulu', 'region', 'public', 'transport', 'nysse', 'quickly', 'check', 'timetable', 'route', 'bus', 'live', 'map', 'nationwide', 'route', 'search', 'stop', 'timetable', 'line', 'map', 'live', 'bus', 'tram', 'metro', 'train', 'traffic', 'exception', 'favourite', 'stop', 'line', 'route', 'pin', 'favourite', 'start', 'screen', 'supported', 'area', 'helsinki', 'region', 'hsl', 'joensuu', 'jojo', 'jyväskylä', 'region', 'linkki', 'kuopio', 'region', 'lahti', 'region', 'lsl', 'tampere', 'region', 'turku', 'region', 'föli', 'oulu', 'region', '//nysse.mobi']",Navigation & maps
1058,,"['travel', 'navigation', 'wp', 'top', 'navigation', 'featured', 'time', 'different', 'country', 'travelling', 'navigation', 'window', 'phone', 'useful', 'innovative', 'finding', 'location', 'shortest', 'route', 'map', 'finding', 'direction', 'road', 'ultimately', 'take', 'destination', 'efficiently', '.it', 'many', 'interesting', 'described', 'perfect', 'travelling', 'guide', 'available', 'pocket', 'ton', 'amazing', 'navigational', 'including', 'drive', 'walk', 'route', 'reaching', 'destination', 'summary', 'route', 'finder', 'travelling', 'guide', 'location', 'tracking', 'drive', 'walk', 'feature', 'live', 'tile', 'destination', 'locator', 'shortest', 'route', 'finder', 'cartography', 'mode', 'road', 'aerial', 'hybrid', 'terrain', 'map', 'color', 'black', 'white', 'land', 'mark', 'pedestrian', 'pitching', 'selection', 'view', 'every', 'angle', 'heading', 'selection', 'turn', 'every', 'direction', 'powerful', 'zooming', 'tile', 'size', 'small', 'medium', 'large', 'direction', 'finder', 'road', 'path', 'locate', 'feature', 'suggestion', 'box', 'built-in', 'online', 'social', 'community', 'socialize', 'user', 'contains', 'slider', 'change', 'property', 'map', 'cartographic', 'mode', 'pitch', 'heading', 'map', 'related', 'functionality', 'demonstrated', 'retrieving', 'displaying', 'phone', 'current', 'location', 'map', 'searching', 'map', 'keyword', 'displaying', 'route', 'direction', 'current', 'location', 'destination', 'interesting', 'feature', 'map', 'control', 'overlay', 'direct', 'manipulation', 'map', 'property', 'cartography', 'mode', 'road', 'aerial', 'hybrid', 'terrain', 'pitch', 'angle', 'look', 'map', 'heading', 'turning', 'map', 'change', 'directional', 'heading', 'pointing', 'center', 'zoom', 'level', 'property', 'changed', 'directly', 'dragging', 'pinching', 'map', 'control', 'search', 'feature', 'initiate', 'search', 'functionality', 'requiring', 'input', 'search', 'term', 'hit', 'found', 'given', 'search', 'term', 'map', 'animated', 'location', 'first', 'hit', 'route', 'button', 'initiate', 'route', 'functionality', 'requires', 'destination', 'name', 'hit', 'found', 'given', 'destination', 'route', 'current', 'location', 'destination', 'shown', 'map', 'travel', 'mode', 'selected', 'driving', 'walking']",Navigation & maps
1059,,"['ranked', 'number', 'top', 'paid', 'category', 'travel', 'navigational', 'ranked', 'number', 'among', 'top', 'paid', 'window', 'phone', 'store', 'map', 'window', 'phone', 'useful', 'innovative', 'finding', 'location', 'route', 'map', 'finding', 'direction', 'road', 'many', 'interesting', 'described', 'perfect', 'travelling', 'guide', 'available', 'pocket', 'summary', 'location', 'tracking', '✔route', 'finder', '✔travelling', 'guide', 'cartography', 'mode', 'road', 'aerial', 'hybrid', 'terrain', 'map', 'color', 'black', 'white', '✔land', 'mark', 'pedestrian', 'pitching', 'selection', 'view', 'every', 'angle', 'heading', 'selection', 'turn', 'every', 'direction', 'powerful', 'zooming', 'tile', 'size', 'small', 'medium', 'large', '✔directions', 'finder', '✔roads', 'path', '✔locate', 'live', 'tile', '✔feature', 'suggestion', 'box', 'built-in', 'online', 'social', 'community', 'socialize', 'user', 'contains', 'slider', 'change', 'property', 'map', 'cartographic', 'mode', 'pitch', 'heading', 'map', 'related', 'functionality', 'demonstrated', 'retrieving', 'displaying', 'phone', 'current', 'location', 'map', 'searching', 'map', 'keyword', 'displaying', 'route', 'direction', 'current', 'location', 'destination', 'interesting', 'feature', 'map', 'control', 'overlay', 'direct', 'manipulation', 'map', 'property', 'cartography', 'mode', 'road', 'aerial', 'hybrid', 'terrain', 'pitch', 'angle', 'look', 'map', 'heading', 'turning', 'map', 'change', 'directional', 'heading', 'pointing', 'center', 'zoom', 'level', 'property', 'changed', 'directly', 'dragging', 'pinching', 'map', 'control', 'search', 'feature', 'initiate', 'search', 'functionality', 'requiring', 'input', 'search', 'term', 'hit', 'found', 'given', 'search', 'term', 'map', 'animated', 'location', 'first', 'hit', 'route', 'button', 'initiate', 'route', 'functionality', 'requires', 'destination', 'name', 'hit', 'found', 'given', 'destination', 'route', 'current', 'location', 'destination', 'shown', 'map', 'travel', 'mode', 'selected', 'driving', 'walking', 'keywords', 'move', 'map', 'location']",Navigation & maps
1174,,"['must-have', 'application', 'parking', 'going', 'countryside', 'travelling', 'abroad', 'leave', 'place', 'return', 'later', 'turn', 'radar', 'select', 'place', 'click', 'go', 'back', 'turn', 'radar', 'show', 'way', 'easy-to-use', 'handy', 'save', 'money', 'require', 'internet', 'connection', 'used', 'place', 'internet', 'either', 'accessible', 'expensive', 'prolongs', 'battery', 'life', 'keep', 'radar', 'turned', 'time', 'make', 'battery', 'life', 'longer', 'save', 'time', 'allows', 'remember', 'target', 'using', 'photo', 'spend', 'time', 'providing', 'description', 'target', 'path', 'track', 'update', 'v2.7', 'camera', 'issue', 'fixed', 'wp8', 'update', 'v2.2', 'bug', 'fixed', 'update', 'v2.0', 'augmented', 'reality', 'beta', 'bug', 'fixed', 'point', 'added']",Navigation & maps
1191,,"['trial', 'version', 'never', 'expires', 'guy', 'please', 'buy', 'million', 'downloads', 'playstore', 'location', 'alarm', 'finally', 'window', 'phone', 'multi', 'tasking-', 'support', 'true', 'multi', 'tasking', 'keep', 'track', 'location', 'even', 'browsing', 'internet', 'something', 'speech', 'notification', 'set', 'interval', 'user', 'notified', 'remaining', 'travel', 'distance', 'via', 'voice', 'user', 'disable', 'enable', 'run', 'lock', 'screen', 'display', 'speed', 'eta', 'estimated', 'time', 'remaining', 'low', 'battery', 'consumption-our', 'lab', 'test', 'showed', 'hour', 'location', 'tracking', 'listening', 'song', 'via', 'headphone', 'reduced', 'battery', 'dosent', 'heat', 'phone', 'high', 'accuracy', 'vibration', 'added', 'low', 'ram', 'usage', 'something', 'go', 'wrong', 'location', 'alarm', 'inform', 'ex', 'low', 'gps', 'signal', 'live', 'tile', 'updated', 'remaining', 'distance', 'running', 'background', 'wide', 'live', 'tile', 'supported', 'small', 'medium', 'tile', 'supported', 'location', 'alarm', 'gps', 'alarm', 'simple', 'gui', 'triggered', 'set', 'location', 'approaching.location', 'alarm', 'different', 'continuously', 'gps', 'location', 'every', 'second', 'connect', 'check', 'location', 'battery', 'efficient', 'much', 'ram', 'simple', 'gui', 'easily', 'understandale', 'take', 'nap', 'transporting', 'afraid', 'might', 'miss', 'stop', 'simply', 'set', 'desired', 'location', 'hit', 'track', 'take', 'nap', 'location', 'alarm', 'hardwork', 'keeping', 'track', 'location', 'notify', 'nearing', 'set', 'location', 'question', 'u', 'built', 'right', 'enjoy']",Navigation & maps
