,package,description,category
83,,"['newest', 'version', 'includes', 'bug', 'fixing', 'patient', 'measurement']",Medical
434,,"['designed', 'sharing', 'useful', 'information', 'pitt', 'hopkins', 'syndrome', 'parent', 'family', 'member', 'carers', 'medical', 'professional']",Medical
1480,,"['benign', 'paroxysmal', 'positional', 'vertigo', 'bppv', 'common', 'condition', 'affecting', 'inner', 'ear', 'balance', 'system', 'educational', 'tool', 'show', 'common', 'recommended', 'test', 'treatment', 'manoeuvre', 'bppv', 'easy', 'follow', 'animation', 'animation', 'show', 'perform', 'diagnostic', 'test', 'posterior', 'horizontal', 'canal', 'animation', 'show', 'direction', 'eye', 'movement', 'nystagmus', 'seen', 'positive', 'test', 'improve', 'ability', 'detect', 'interpret', 'nystagmus', 'animation', 'showing', 'common', 'treatment', 'manoeuvre', 'also', 'show', 'semicircular', 'canal', 'moving', 'plane', 'head', 'crystal', 'moving', 'around', 'canal', 'manoeuvre', 'bppv', 'relief', 'created', 'physiotherapist', 'successfully', 'treated', 'people', 'bppv', 'follows', 'step', 'used', 'diagnose', 'treat', 'bppv', 'dizziness', 'clinic', 'draw', 'lesson', 'learnt', 'time', 'perfecting', 'skill', 'required', 'treat', 'bppv', 'effectively', 'test', 'treatment', 'commonly', 'used', 'follow', 'evidence', 'based', 'recommendation', 'clinical', 'practice', 'guideline', 'bppv', 'updated', 'american', 'academy', 'otolaryngology-', 'head', 'neck', 'surgery', 'foundation', 'designed', 'health', 'professional', 'specialise', 'treating', 'people', 'dizziness', 'vertigo', 'health', 'professional', 'see', 'people', 'dizziness', 'access', 'specialist', 'diagnosis', 'treatment', 'health', 'professional', 'training', 'others', 'treat', 'bppv', 'great', 'teaching', 'tool', 'people', 'diagnosed', 'bppv', 'qualified', 'health', 'professional', 'instructed', 'particular', 'treatment', 'manoeuvre', 'home', 'part', 'treatment', 'regime', 'care', 'people', 'diagnosed', 'bppv', 'qualified', 'health', 'professional', 'treated', 'successfully', 'safely', 'repositioning', 'manoeuvre', 'wish', 'self', 'manage', 'recurrence', 'substitute', 'medical', 'advice', 'advise', 'see', 'health', 'professional', 'using']",Medical
2024,,"['completely', 'offline', 'medical', 'dictionary', 'containing', 'medical', 'disorder', 'disease', 'detailed', 'definition', 'symptom', 'cause', 'treatment', 'information', 'medical', 'disease', 'hand', 'book', 'act', 'clinical', 'advisor', 'self', 'diagnosis', 'also', 'used', 'look', 'symptom', 'disease', 'treatment', 'disease', 'dictionary', 'healthcare', 'professional', 'pharmaceutical', 'physician', 'hospital', 'nurse', 'medical', 'student', 'nursing', 'professional', 'pharmacy', 'physician', 'assistant', 'student', 'work', 'clinical', 'practice', 'dispensary', 'replace', 'pharmacist', 'doctor', 'consultation', 'content', 'pocket', 'reference', 'educational', 'purpose', 'consult', 'doctor', 'actual', 'usage', 'information']",Medical
2304,,"['comprehensive', 'medical', 'reference', 'window', 'includes', 'offline', 'drug', 'reference', 'condition', 'reference', 'procedure', 'reference', 'drug', 'interaction', 'checker', 'calculator']",Medical
2381,,"['icd-10-cm', 'expert', 'quickly', 'find', 'diagnostic', 'code', 'version', 'icd-10-cm', 'valid', 'october', 'september', 'browse', 'icd-10-cm', 'chapter', 'section', 'block', 'code', 'find', 'code', 'billable', 'non-billable', 'code', 'clearly', 'distinguished', 'complete', 'icd-10-cm', 'tabular', 'list', 'disease', 'injury', 'instructional', 'notation', '7th', 'character', 'placeholder', 'x', 'included', 'part', 'code', 'powerful', 'search', 'using', 'first', 'character', 'word', 'code', 'looking', 'bookmark', 'favorite', 'code', 'insert', 'note', 'share', 'code']",Medical
2417,,"['application', 'calculating', 'labor', 'contraction']",Medical
2695,,"['arterial', 'blood', 'gas', 'analyzer', 'lite', 'mobile', 'application', 'help', 'interpret', 'result', 'arterial', 'blood', 'gas', 'function', 'comparing', 'result', 'normal', 'range', 'showing', 'alveolar-arterial', 'a-a', 'gradient', 'calculating', 'compensatory', 'degree', 'explaining', 'interpreted', 'result', 'moreover', 'application', 'user', 'set', 'custom', 'normal', 'range', 'cut-off', 'value', 'compensation', 'equation', 'using', 'correct', 'clinical', 'knowledge', 'good', 'patient-doctor', 'decision', 'making', 'arterial', 'blood', 'gas', 'analyzer', 'lite', 'improve', 'efficiency', 'precision', 'patient', 'care', 'enhance', 'way', 'optimal', 'patient', 'care']",Medical
3109,,"['check', 'availability', 'price', 'drug', 'pharmacy', 'near', 'simply', 'online', 'pharmacy', 'see', 'nearest', 'open', '24-hour', 'pharmacy', 'impossible', 'every', 'single', 'pharmacy', 'keep', 'drug', 'stock', 'time', 'visit', 'pharmacy', 'pharmacy', 'order', 'fill', 'prescription', 'gdziepolek', 'let', 'u', 'tell', 'go', 'gdziepolek', 'allows', 'search', 'reserve', 'drug', 'local', 'pharmacy', 'show', 'nearest', 'pharmacy', 'drug', 'stock', 'available', 'immediate', 'pickup', 'thanks', 'gdziepolek', 'medicine', 'easy', 'step', 'provide', 'location', 'hint', 'type', 'name', 'drug', 'make', 'reservation', 'pick', 'medicine', 'pharmacy', 'choice', 'gdziepolek', 'also', 'consult', 'pharmacist', 'ask', 'question', 'medicine', 'quickly', 'receive', 'professional', 'answer', 'gdziepolek', 'today', 'reserve', 'required', 'medicine', 'nearby', 'pharmacy', 'computer', 'smartphone', 'tablet', 'gdziepolek']",Medical
3141,,"['zamalia', 'register', 'famous', 'weed', 'strain', 'along', 'description', 'high', 'effect', 'medical', 'effect', 'negative', 'effect', 'whether', 'cannabis', 'patient', 'looking', 'weed', 'information', 'recreational', 'user', 'heading', 'amsterdam', 'coffee', 'shop', 'zamalia', 'find', 'weed', 'strain', 'suit', 'powerful', 'yet', 'simple', 'sorting', 'tool', 'find', 'best', 'strain', 'need', 'desire', 'list']",Medical
3213,,"['application', 'taking', 'picture', 'healthware', 'intouch', 'point', 'care', 'application']",Medical
3534,,"['allow', 'disabled', 'user', 'program', 'word', 'spoken']",Medical
3587,,"['patient', 'census', 'application', 'designed', 'aid', 'end', 'user', 'collecting', 'organizing', 'data', 'information', 'ensure', 'ease', 'interpretation', 'illustration', 'created', 'medical', 'practitioner', 'allied', 'health', 'care', 'worker', 'efficiently', 'generate', 'meaningful', 'diagram', 'summarize', 'collected', 'data', 'report', 'presentation', 'documentation', 'could', 'generate', 'information', 'patient', 'disposition', 'age', 'distribution', 'diagnosis', 'application', 'designed', 'user', 'friendly', 'possible', 'promote', 'efficiency', 'organization', 'time', 'management']",Medical
3923,,"['bring', 'patient', 'education', 'digital', 'age', 'eliminate', 'flip', 'chart', 'paper', 'brochure', 'world-class', 'ophthalmic', 'patient', 'education', 'service', 'eye', 'gifs', 'provides', 'fast', 'second', 'repeating', 'animated', 'illustration', 'let', 'quickly', 'explain', 'exam', 'room', 'share', 'matching', 'animated', 'brochure', 'patient', 'review', 'home', 'featuring', 'world-class', 'patient', 'education', 'content', 'medical', 'artist', 'stephen', 'f.', 'gordon', 'subject', 'covered', 'exam', 'room', 'gifs', 'audio', 'narrative', 'take-home', 'brochure', 'added', 'every', 'month', 'includes', '1-month', 'trial', 'credit', 'card', 'required', 'special', 'introductory', 'rate', 'month', 'life', 'subscription', 'cancel', 'subscription', 'time']",Medical
3928,,"['crosstx', 'ass', 'allows', 'care', 'provider', 'person', 'conduct', 'medical', 'assessment', 'identify', 'health', 'issue', 'determine', 'general', 'health', 'state', 'assessment', 'national', 'standardized', 'questionnaire', 'designed', 'self-administered', 'patient', 'designated', 'care', 'giver']",Medical
4250,,"['roxanne', 'program', 'management', 'dental', 'clinic']",Medical
4584,,"['merit-based', 'incentive', 'payment', 'system', 'mips', 'payment', 'system', 'cm', 'adjust', 'physician', 'medicare', 'payment', 'starting', 'based', 'performance', 'adjustment', 'based', 'mips', 'score', 'mips', 'eligible', 'individual', 'physician', 'group', 'practice', 'mips', 'score', 'calculated', 'based', 'performance', 'different', 'category', 'quality', 'improvement', 'activity', 'advancing', 'care', 'information', 'cost', 'mips', 'score', 'mm', 'provides', 'simple', 'step-by-step', 'approach', 'understand', 'category', 'mips', 'score', 'mm', 'innovative', 'simulator', 'allows', 'estimate', 'mips', 'score', 'quickly', 'efficiently', 'enter', 'data', 'based', 'actual', 'past', 'performance', 'built', 'mm', 'slider', 'functionality', 'mm', 'slider', 'functionality', 'allows', 'visualize', 'impact', 'single', 'measure', 'score', 'mips', 'score', 'composite', 'performance', 'score', 'real', 'time', 'help', 'identify', 'focus', 'measure', 'matter', 'practice']",Medical
