,package,description,category
1479,,"['show', 'battery', 'charging', 'level', 'bar', 'graph', 'lock', 'screen', 'glance', 'screen', 'update', 'period', 'min']",Personalization  >  Wallpaper & lock screens
1520,,"['create', 'nice', 'tile', 'phone', 'launcher', 'add', 'tile', 'start', 'fast', 'launching', 'without', 'annoying', 'starting', 'logo', 'top', 'splash', 'screen', 'launch', 'almost', 'effect', 'multi', 'tasking', 'asking', 'choose']",Personalization  >  Themes
1622,,"['start', 'wallpaper', 'high-resolution', 'wallpaper', 'application', 'made', 'window', 'device', 'start', 'wallpaper', 'set', 'liked', 'wallpaper', 'start', 'screen', 'lock', 'screen', 'wallpaper', 'save', 'liked', 'wallpaper', 'phone', 'share', 'social', 'network', 'impressive', 'feature', 'slideshow', 'feature', 'add', 'liked', 'wallpaper', 'collection', 'enjoy', 'changing', 'start', 'screen', 'start', 'wallpaper', 'promotional', 'video', '//www.youtube.com/watch', 'v=v-qk9di2ehu']",Personalization  >  Wallpaper & lock screens
2276,,"['premium', 'screensavers', 'many', 'customization', 'include', '-snow', 'effect', '-rain', 'effect', '-butterfly', 'effect', '-binary', 'rain', 'effect', '-plus', 'bonus', 'rectangle', 'effect', 'big', 'thanks', 'pixabay', 'providing', 'wide', 'range', 'image', 'suggestion', 'hesitate', 'directly']",Personalization  >  Wallpaper & lock screens
2818,,"['𝔻𝕠', '𝕪𝕠𝕦', '𝕨𝕒𝕟𝕥', '𝕥𝕠', '𝕒𝕕𝕕', '𝕝𝕠𝕥𝕤', '𝕠𝕗', '𝕗𝕦𝕟', '𝕥𝕠', '𝕄𝕖𝕤𝕤𝕒𝕘𝕖𝕤', '𝕎𝕙𝕒𝕥𝕤𝔸𝕡𝕡', '𝔽𝕒𝕔𝕖𝕓𝕠𝕠𝕜', '𝕋𝕨𝕚𝕥𝕥𝕖𝕣', '𝕒𝕟𝕕', '𝕠𝕥𝕙𝕖𝕣', '𝕒𝕡𝕡𝕤', 'create', 'amazing', 'text', 'write', 'ｄｉｆｆｅｒｅｎｔ', 'ᴅɪғғᴇʀᴇɴᴛ', 'ˢⁱᶻᵉˢ', '𝘴𝘵𝘺𝘭𝘦𝘴', 'also', 'ǝʇɐʇoᴚ', 'text', 'fun', '𝐼𝒻', '𝓎𝑜𝓊', '𝓁𝒾𝓀𝑒', '𝓉𝒽𝒾𝓈', '𝒶𝓅𝓅𝓁𝒾𝒸𝒶𝓉𝒾𝑜𝓃', '𝒫𝓁𝑒𝒶𝓈𝑒', '𝑔𝒾𝓋𝑒', '𝓊𝓈', '𝓈𝓉𝒶𝓇𝓈', '𝒾𝓃', '𝓇𝒶𝓉𝒾𝓃𝑔', '𝒶𝓃𝒹', '𝓈𝒽𝒶𝓇𝑒', '𝓉𝒽𝒾𝓈', '𝒶𝓅𝓅𝓁𝒾𝒸𝒶𝓉𝒾𝑜𝓃', '𝓌𝒾𝓉𝒽', '𝓎𝑜𝓊𝓇', '𝒻𝓇𝒾𝑒𝓃𝒹𝓈']",Personalization  >  Fonts
2983,,"['wallpaper', 'theme', 'trae', 'para', 'ti', 'los', 'mejores', 'wallpaper', 'para', 'tu', 'pantalla', 'de', 'bloqueo', 'de', 'inicio', 'en', 'window', 'phone', 'con', 'wallpaper', 'theme', 'podras', 'obtener', 'cualquier', 'wallpaper', 'que', 'te', 'guste', 'wallpaper', 'theme', 'siempre', 'actualiza', 'sus', 'wallpaper', 'por', 'lo', 'que', 'todos', 'los', 'dia', 'habra', 'nuevos', 'wallpaper']",Personalization  >  Wallpaper & lock screens
3169,,"['nature', 'sound', 'relaxation', 'timer', 'cortana', 'integration', 'e.g', ""'quiet"", 'mind', 'track', 'bird', ""'quiet"", 'mind', 'pause', ""'quiet"", 'mind', 'next', 'en-us', 'light', 'dark', 'theme', 'ad']",Personalization  >  Ringtones & sounds
3176,,"['choose', 'among', 'week', 'wallpaper', 'bing', 'set', 'effortlessly', 'pc', 'phone', 'wallpaper', 'ad', 'simple', 'interface', 'live', 'tile']",Personalization  >  Wallpaper & lock screens
3247,,"['downloads', 'latest', 'bing', 'wallpaper']",Personalization  >  Wallpaper & lock screens
3358,,"['take', 'tour', 'magnificent', 'national', 'park', 'united', 'state', 'without', 'leaving', 'desk', 'tour', 'bryce', 'canyon', 'mt', 'rainier', 'yosemite', 'haleakala', 'zion', '15-image', 'theme', 'window', 'desktop', 'image', 'used', 'desktop', 'wallpaper']",Personalization  >  Themes
3406,,"['revolutionize', 'appearance', 'stat', 'screen', 'lock', 'screen', 'stunning', 'wallpaper', 'included', 'powerful', 'search', 'option', 'find', 'tag', 'color', 'filter', 'wallpaper', 'hottest', 'top', 'rated', 'latest', 'day', 'week', 'month', 'time']",Personalization  >  Wallpaper & lock screens
3967,,"['create', 'nice', 'tile', 'phone', 'icon', 'available', 'personalize', 'phone', 'make', 'phone', 'iphone', 's7', 's8', 'android', 'launcher', 'add', 'tile', 'start', 'fast', 'launching', 'without', 'annoying', 'starting', 'logo', 'review', 'user', 'pretty', 'good', 'nice', 'start', ""'m"", 'already', 'using', 'start', 'screen', 'mostly', 'link', 'work', 'although', 'pay', 'one', 'serve', 'essential', 'highly', 'recommend', 'customizing', 'congratulation', 'developer', 'excellent', 'perfect', 'hope', 'develop', 'top', 'splash', 'screen', ""'loading"", 'asking', 'choose', 'stay', 'background', 'icon', 'pack', 'pin', 'custom', 'tile']",Personalization  >  Themes
4173,,"['beach', 'wallpaper', 'find', 'excellent', 'collection', 'best', 'wallpaper', 'share', 'friend', 'family', 'love', 'life', 'better', 'way', 'feel', 'wallpaper', 'share', 'beach', 'sunset', 'wallpaper', 'button', 'right', 'characteristic', 'application', 'download', 'speed', '\u200b\u200bhas', 'optimized', 'maximum', 'application', 'go', 'smoothly', 'quick', 'navigation', 'everything', 'intuitively', 'placed', 'customize', 'application', 'share', 'function', 'share', 'via', 'sm', 'multimedia', 'messaging', 'facebook', 'twitter', 'whatsapp', 'viber', 'line', 'social', 'network', 'simply', 'pressing', 'button', 'quality', 'image', 'selected', 'offer', 'best', 'quality', 'language', 'application', 'translated', 'forget', 'application', 'different', 'language', '\u200b\u200bto', 'find', 'everything', 'language', 'set', 'wallpaper', 'press', 'button', 'right', 'intuitive', 'order', 'change', 'go', 'image', 'another', 'necessary', 'slide', 'finger', 'access', 'everything', 'positioned', 'application', 'easy', 'enjoy', 'help', 'express', 'sometimes', 'find', 'adequate', 'word', 'express', 'convey', 'word', 'application', 'find', 'perfect', 'wallpaper', 'extra', 'application', 'share', 'favorite', 'wallpaper', 'category', 'beautiful', 'beach', 'picture', 'beach', 'image', 'constantly', 'adding', 'wallpaper', 'enhancement', 'application', 'time', 'time', 'send', 'update', 'hesitate', 'update', 'always', 'keep', 'best', 'hope', 'enjoy', 'application', 'anything', 'think', 'could', 'improved', 'please', 'leave', 'comment', 'work', 'qualify', 'u', 'always', 'continue', 'working', 'offer', 'best']",Personalization  >  Wallpaper & lock screens
4193,,"['birthday', 'anniversary', 'contact']",Personalization
