,package,description,category
13,,"['google', 'authenticator', 'based', 'dnb', 'authenticator', 'generates', 'two-step', 'totp', 'verification', 'code', 'smartphone', 'two-factor', 'authentication', 'provides', 'stronger', 'security', 'dnbnor', 'luxembourg', 'account', 'requiring', 'additional', 'authentication', 'step', 'within', 'sign-in', 'process', 'generates', 'time', 'password', 'otp', 'token', 'compatible', 'rcf', 'google', 'facebook', 'rsa', 'securid®', 'two', 'factor', 'authentication', 'fully', 'supported', 'token', 'imported', 'using', 'qr', 'code', 'scanning', 'manual', 'token', 'information', 'entering']",Security  >  Personal security
72,,"['yourpass', 'password', 'manager', 'securely', 'store', 'retrieves', 'password', 'easily', 'maintain', 'different', 'password', 'account', 'recommended', 'security', 'expert', 'access', 'password', 'using', 'single', 'master', 'password', 'simply', 'select', 'account', 'paste', 'password', 'also', 'store', 'security', 'challenge', 'question', 'answer', 'password', 'challenge', 'answer', 'stored', 'encrypted', 'format', 'optionally', 'generate', 'random', 'password', 'sync', 'device', 'via', 'onedrive']",Security
341,,"['true', 'caller', 'name', 'id', 'calling', 'phone', 'number', 'lookup', 'numbuster', 'totally', 'true', 'caller', 'name', 'id', 'phone', 'number', 'performs', 'telephone', 'number', 'search', 'reverse', 'phone', 'lookup', 'find', 'calling', 'unknown', 'unfamiliar', 'phone', 'number', 'powerful', 'white', 'rate', 'leave', 'comment', 'phone', 'number', 'sm', 'sender', 'even', 'phone', 'book', 'search', 'information', 'unfamiliar', 'phone', 'number', 'around', 'world', 'create', 'profile', 'community', 'set', 'look', 'manage', 'contact', 'find', 'calling', 'even', 'number', 'phonebook', 'search', 'number', 'feature', 'inside', 'find', 'possible', 'name', 'rank', 'comment', 'unknown', 'unfamiliar', 'telephone', 'number', 'important', 'completely', 'always', 'contain', 'ad', 'calling', 'still', 'able', 'see', 'phone', 'number', 'carefully', 'protect', 'information', 'including', 'list', 'call', 'log', 'nobody', 'phone', 'number', 'using', 'search', 'name', 'internet', 'connection', 'required', 'call', 'id', 'connection', 'speed', 'critical', 'normal', 'operation', 'permissons', 'requested', 'installation', 'needed', 'access', 'camera', 'image', 'numbuster', 'set', 'picture', 'photo', 'profile', 'share', 'photo', 'image', 'built-in', 'chat', 'feature', 'messenger', 'work', 'without', 'access', 'phone', 'camera', 'picture', 'gallery', 'case', 'access', 'phone', 'take', 'place', 'user', 'permission', 'outlined', 'google', 'policy', 'access', 'phonebook', 'contact', 'main', 'value', 'numbuster', 'ability', 'intelligently', 'identify', 'possible', 'name', 'people', 'calling', 'unfamiliar', 'number', 'social', 'program', 'whatsapp', 'viber', 'skype', 'ex', 'numbuster', 'take', 'note', 'content', 'contact', 'order', 'build', 'social', 'link', 'user', 'show', 'friend', 'also', 'thus', 'example', 'common', 'acquaintance', 'unknown', 'phone', 'number', 'identified', 'search', 'number', 'feature', 'inside', 'always', 'welcome', 'feedback', 'numbuster.com', 'thank']",Security  >  Personal security
558,,"['scan', 'suspicious', 'file', 'link', 'many', 'famous', 'antivirus', 'definations', 'library', 'click', 'file', 'upload', 'file', 'click', 'url', 'submit', 'link', 'click', 'scan', 'file', 'virus', 'scan']",Security  >  PC protection
569,,"['\u200bنحن', 'بغرفة', 'جدة', 'نتفهم', 'احتياجك', 'فلذلك', 'قمنا', 'بتقديم', 'طريقة', 'جديدة', 'لتصديق', 'مستنداتك', 'من', 'خلال', 'تصديق', 'توكن', 'بحيث', 'يمكن', 'استخدام', 'التطبيق', 'على', 'جميع', 'أجهزة', 'الجوالات', 'الذكية', 'في', 'اي', 'وقت', 'وعلى', 'مدار', 'الساعة', 'وبشكل', 'آمن', 'دون', 'الحاجة', 'للاتصال', 'بالإنترنت', 'للحصول', 'على', 'رموز', 'الأمان', 'وذلك', 'بغرض', 'الحفاظ', 'على', 'وقتك', 'وحماية', 'لمستنداتك', 'المصدقة', 'لتكون', 'قادر', 'على', 'تفعيل', 'هذه', 'الميزة', 'يجب', 'عليك', 'الدخول', 'بحساب', 'المفوض', 'الخاص', 'بك', 'على', 'موقع', 'التصديق', 'الإلكتروني', 'www.jcea.org.sa', 'ومن', 'ثم', 'اختيار', 'تحرير', 'معلومات', 'حسابك', 'واتباع', 'خطوات', 'التفعيل', 'المذكورة', 'بالموقع', 'هذه', 'الخطوات', 'تحتاج', 'للاتصال', 'بالإنترنت', 'لتتمكن', 'من', 'تفعيل', 'التطبيق', 'jeddah', 'chamber', 'understand', 'need', 'develop', 'way', 'attest', 'letter', 'tasdeeq', 'soft', 'token', 'application', 'smart', 'phone', 'anywhere', 'high', 'secured', 'level', 'without', 'internet', 'connection', 'save', 'time', 'able', 'feature', 'sign', 'mufawad', 'account', 'jcea', 'www.jcea.org.sa', 'select', 'edit', 'account', 'information', 'follow', 'instruction', 'internet', 'connection', 'activation', 'process']",Security  >  Personal security
652,,"['application', 'provide', 'caesar', 'cipher', 'encryption', 'decryption', 'method', 'convert', 'user', 'text']",Security  >  Personal security
827,,"['advanced', 'password', 'generator', 'let', 'generate', 'strong', 'password', 'different', 'character', 'set', 'toggled', 'ranging', 'upper', 'case', 'lower', 'case', 'numeric', 'special', 'character', 'also', 'possibility', 'custom', 'character', 'set', 'password', 'length', 'customized', 'randomized', 'password', 'generation', 'password', 'copied', 'clipboard', 'simply', 'clicking', 'button', 'ensures', 'easily', 'copy/pasting', 'password', 'protect', 'personal', 'device', 'account', 'safe', 'strong', 'password']",Security  >  Personal security
1442,,"['generate', 'number', 'truly', 'random', 'secure', 'password', 'mouse', 'click', 'pro', 'password', 'generator', 'strong', 'random', 'password', 'protect', 'identity', 'potential', 'harm', 'comparison', 'version', 'pro', 'password', 'generator', 'guarantee', 'least', 'character', 'selected', 'group', 'included', 'generated', 'password', 'cool', 'feature', 'displaying', 'actual', 'strength', 'generated', 'password']",Security  >  Personal security
2038,,"['mail1click', 'secure', 'mail', 'service', 'us', 'strong', 'encryption', 'keep', 'communication', 'safe', 'us', 'asymmetric', 'encryption', 'rsa', 'key', 'long', 'bit', 'sending', 'email', 'sign', 'encrypts', 'automatically', 'send', 'encrypted', 'message', 'normal', 'address', 'receive', 'encrypted', 'mail1click', 'user', 'receive', 'normal', 'address', 'email', 'file', 'attached', 'stored', 'fully', 'encrypted', 'aes', 'access', 'encrypted', 'mailbox', 'using', 'android', 'smart-phone', 'mail', 'interface', 'available', '//www.mail1click.com', 'mail1click', 'easy', 'activate', 'account', 'click', 'completely', 'mb', 'space', 'used']",Security  >  Personal security
2208,,"['simple', 'convenient', 'way', 'protect', 'account', 'security', 'remember', 'primary', 'password', 'generate', 'unlimited', 'number', 'password', 'also', 'generate', 'different', 'length', 'complexity', 'password', 'different', 'scenario', 'support', 'pc', 'tablet', 'smartphones']",Security  >  PC protection
