,package,description,category
308,,"['jaipur', 'metro', 'application', 'guide', 'jaipur', 'metro', 'system', 'phone', 'absolutely', 'time', 'anywhere', 'plan', 'trip', 'find', 'metro', 'route', 'source', 'destination', 'well', 'distance', 'two', 'metro', 'station', 'important', 'supported', 'phase-2', 'plan', 'well', 'application', 'internet', 'connection', 'required', 'trip', 'planning', 'metro', 'route', 'search', 'search', 'route', 'source', 'destination', 'jaipur', 'metro', 'station', 'nearby', 'station', 'functionality', 'find', 'nearby', 'metro', 'station', 'user', 'current', 'location', 'within', 'km', 'running', 'route', 'fare', 'available', 'user', 'check', 'peak/off-peak', 'hour', 'would', 'appreciate', 'feedback/suggestion', 'application', 'share', 'feedback/suggestion', 'using', 'application', 'functionality', 'mechanism']",Travel
321,,"['ahmedabad', 'introduction', 'collection', 'information', 'ahmedabad', 'history', 'geography', 'climate', 'cityscape', 'economy']",Travel
375,,"['reed', 'mackay', 'mobile', 'provides', 'business', 'traveler', 'access', 'latest', 'version', 'itinerary', 'fully', 'integrated', 'iq', 'reed', 'mackay', 'unique', 'house', 'booking', 'tool', 'essential', 'trip', 'information', 'already', 'waiting', 'every', 'reed', 'mackay', 'traveler', 'personalized']",Travel
401,,"['allows', 'locate', 'various', 'equipment', 'wi-fi', 'theater', 'football', 'field', 'subway', 'entrance', 'let', 'select', 'place', 'amoung', 'various', 'city', 'bordeaux', 'bruxelles', 'york', 'lyon', 'paris', 'city', 'may', 'share', 'list', 'equipements', 'data', 'coming', 'different', 'open', 'data', 'city', '//havefuncoding.wordpress.com/2015/02/23/easycity/']",Travel
433,,"['travel', 'splitter', 'keep', 'track', 'expense', 'foreign', 'trip', 'allow', 'easily', 'settle', 'friend', 'including', 'foreign', 'currency', 'expensive', 'internet', 'connection', 'needed', 'data', 'stored', 'locally', 'device']",Travel
496,,"['latest', 'info', 'latest', 'irish', 'traffic', 'delay', 'warning', 'roadworks', 'event', 'around', 'country', 'parking', 'info', 'available', 'main', 'city']",Travel
504,,"['driving', 'n4', 'pretoria', 'botswana', 'n1', 'gauteng', 'bela', 'bela', 'turn', 'road', 'journey', 'voyage', 'discovery', 'platinum', 'road', 'audio', 'containing', 'hour', 'worth', 'remarkable', 'story', 'relevant', 'particular', 'place', 'along', 'route', 'narrated', 'radio', 'david', 'sullivan', 'download', 'story', 'magically', 'find', 'drive', 'along', 'without', 'lift', 'finger', 'best', 'downloaded', 'offline', 'nasty', 'data', 'bill', 'surprise', 'using', 'platinum', 'road', 'hear', 'amazing', 'story', 'sa', 'incredible', 'platinum', 'wealth', 'remarkable', 'giant', 'african', 'bullfrog', 'vanished', 'city', 'civilisation', 'epic', 'battle', 'fought', 'along', 'n4', 'route', 'travelling', 'country', 'beloved', 'short-story', 'teller', 'herman', 'charles', 'bosman', 'hero', 'heroic', 'south', 'african', 'liberation', 'struggle', 'story', 'platinum', 'road', 'sourced', 'peter', 'delmar', 'platinum', 'road', 'painstakingly', 'researched', 'book', 'true', 'tale', 'n4', 'n1', 'platinum', 'road', 'book', 'offered', 'charge', 'thanks', 'sponsorship', 'bakwena', 'using', 'platinum', 'road', 'ipad', 'may', 'turn', 'mobile', 'data', 'turn', 'wifi', 'connectivity', 'bluetooth', 'activated', 'iphone', 'ipad', 'great', 'idea', 'audio', 'car', 'portable', 'audio', 'system', 'course', 'listen', 'story', 'home', 'check', 'image', 'simply', 'clicking', 'list', 'clicking', 'individual', 'point', 'interest', 'map', 'platinum', 'road', 'book', 'platinum', 'road', 'published', 'parkview', 'press', 'business', 'dedicated', 'researching', 'writing', 'publishing', 'compelling', 'cost-effective', 'content-rich', 'medium', 'travel', 'tourism', 'sector', 'parkview', 'press', 'utilises', 'tourism', 'radio', 'ground-breaking', 'platform', 'system', 'facebook', 'platinum', 'road', 'www.parkviewpress.co.za']",Travel
562,,"['seavan', 'list', 'latest', 'wait', 'time', 'land', 'border', 'crossing', 'seattle', 'vancouver', 'direction', 'fetch', 'border', 'crossing', 'data', 'canadian', 'u', 'government', 'feed', 'default', 'seavan', 'auto-refreshes', 'data', 'every', 'minute', 'roughly', 'often', 'source', 'feed', 'updated', 'turn', 'auto-refresh', 'setting', 'also', 'tap', 'refresh', 'button', 'time', 'latest', 'data', 'tap', 'individual', 'crossing', 'name', 'fire', 'bing', 'give', 'direction', 'current', 'location', 'selected', 'crossing', 'turn', 'location', 'service', 'setting', 'case', 'bing', 'direction', 'feature', 'disabled', 'setting', 'also', 'turn', 'on/off', 'individual', 'crossing', 'lane', 'type', 'finally', 'turn', 'on/off', 'flip', 'animation', 'primary', 'tile', 'link', 'provides', 'link', 'seattle/vancouver', 'traffic', 'data', 'plus', 'raw', 'xml', 'data', 'used', 'main', 'view', 'seavan', 'minimalist', 'work', 'well', 'version', 'us', 'tiny', 'amount', 'memory', 'cpu', 'resource', 'us', 'data', 'service', 'fetch', 'wait', 'time', 'typically', 'turn', 'cellular', 'roaming', ""'re"", ""'other"", 'side', 'border', 'wifi', 'connection', 'wo', 'updated', 'time', 'back', 'home', 'side', 'border']",Travel
633,,"['find', 'parking', 'elsinore']",Travel  >  City guides
641,,"['note', 'travel', 'guide', 'trainspnrstatus', 'rail', 'inquiry', 'check', 'pnr', 'status', 'indian', 'railway', 'irctc', 'ticket', 'train', 'schedule', 'live', 'running', 'train', 'status', 'information', 'check', 'pnr', 'status', 'using', 'easy', 'simple', 'open', 'opened', 'find', 'form', 'top', 'input', 'box', 'enter', 'digit', 'pnr', 'number', 'submit', 'current', 'reservation', 'status', 'shown', 'instantly', 'pnr', 'digit', 'number', 'usually', 'printed', 'top-left', 'corner', 'indian', 'railway', 'counter', 'ticket', 'booked', 'ticket', 'irctc', 'find', 'number', 'electronically', 'generated', 'e-tickets', 'also', 'irctc', 'sends', 'sm', 'mobile', 'phone', 'necessary', 'detail', 'regarding', 'ticket', 'present', 'booking', 'sm', 'irctc', 'includes', 'pnr', 'number', 'locate', 'find', 'current', 'reservation', 'status', 'ticket', 'check', 'time', 'table', 'different', 'train', 'indian', 'railway', 'run', 'thousand', 'train', 'daily', 'order', 'check', 'train', 'schedule', 'using', 'trainspnrstatus', 'open', 'click', 'menu', 'icon', 'present', 'top', 'right', 'corner', 'display', 'click', 'menu', 'show', 'different', 'link', 'section', 'simply', 'click', ""'train"", 'schedule', 'option', 'enter', 'five', 'digit', 'train', 'number', 'hit', 'train', 'schedule', 'button', 'successful', 'submission', 'train', 'number', 'show', 'detailed', 'time', 'table', 'train', 'starting', 'station', 'ending', 'station', 'scheduled', 'time', 'train', 'listed', 'table', 'chronological', 'order', 'better', 'understanding', 'check', 'live', 'train', 'status', 'select', 'station', 'running', 'day', 'information', 'available', 'form', 'top', 'clicking', 'submit', 'button', 'load', 'live', 'running', 'status', 'information', 'train', 'another', 'great', 'feature', 'provide', 'list', 'train', 'running', 'two', 'important', 'station', 'selecting', ""'trains"", 'station', 'option', 'enter', 'detail', ""'from"", ""'to"", 'form', 'click', ""'get"", 'train', 'button', 'load', 'train', 'departure', 'arrival', 'time', 'also', 'list', 'train', 'running', 'day', 'information', 'distance', 'two', 'station', 'travel', 'time', 'also', 'listed', 'better', 'understanding', 'apart', 'main', 'trainspnrstatus', 'pnr', 'status', 'train', 'schedule', 'live', 'status', 'also', 'check', 'train', 'coach', 'position', 'indian', 'railway', 'map', 'station', 'code', 'note', 'unofficial', 'indian', 'railway', 'information']",Travel
